Format Version,1.21,Take Name,flow81,Capture Frame Rate,250.000000,Export Frame Rate,200.000000,Capture Start Time,2016-05-30 12.13.04 AM,Total Frames in Take,28647,Total Exported Frames,14593,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,brice,brice,brice,brice,brice,brice,brice,brice
,,"8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
6720,26.880000,-0.372627,-0.067801,0.925369,-0.015656,-864.020142,936.016602,383.105896,0.428772
6721,26.885000,-0.375712,-0.063180,0.924432,-0.016541,-863.560120,935.476135,384.388336,0.418956
6722,26.890000,-0.378569,-0.067176,0.922921,-0.019729,-862.871277,935.825867,385.635040,0.501167
6723,26.895000,-0.380958,-0.067074,0.921899,-0.021771,-862.249268,935.876343,386.789612,0.345933
6724,26.900000,-0.383151,-0.069179,0.920776,-0.024103,-861.547363,936.159485,387.934540,0.467584
6725,26.905000,-0.383861,-0.066448,0.920642,-0.025558,-860.901550,936.077087,388.844177,0.424289
6726,26.910000,-0.384284,-0.065343,0.920502,-0.027067,-860.326538,936.119263,389.667480,0.332752
6727,26.915000,-0.384493,-0.065312,0.920383,-0.028191,-859.749634,936.276611,390.509003,0.364819
6728,26.920000,-0.384320,-0.065532,0.920441,-0.028136,-859.309570,936.372009,391.312286,0.330850
6729,26.925000,-0.384670,-0.064643,0.920368,-0.027801,-858.712402,936.424744,392.089813,0.367683
6730,26.930000,-0.385561,-0.064911,0.919974,-0.027874,-858.038025,936.586975,392.911255,0.427731
6731,26.935000,-0.385494,-0.068189,0.919785,-0.027211,-857.463623,936.954346,393.641296,0.504108
6732,26.940000,-0.384765,-0.070117,0.920009,-0.024978,-857.130920,937.309875,394.383942,0.429001
6733,26.945000,-0.385536,-0.068849,0.919814,-0.023756,-856.626282,937.328369,395.216003,0.336946
6734,26.950000,-0.387355,-0.066371,0.919268,-0.022315,-855.958618,937.319824,396.071777,0.478780
6735,26.955000,-0.388322,-0.068910,0.918703,-0.021033,-855.606506,937.641174,396.855499,0.475085
6736,26.960000,-0.389492,-0.068343,0.918277,-0.019808,-855.251160,937.772522,397.749115,0.501515
6737,26.965000,-0.390399,-0.069252,0.917840,-0.019061,-855.006531,938.108154,398.389191,0.438783
6738,26.970000,-0.391157,-0.073917,0.917152,-0.019107,-854.865356,938.737244,399.095703,0.333030
6739,26.975000,-0.393148,-0.076689,0.916053,-0.020026,-854.554749,939.207642,399.910309,0.474109
6740,26.980000,-0.393793,-0.078736,0.915603,-0.019977,-854.495056,939.654053,400.549286,0.327183
6741,26.985000,-0.395925,-0.078832,0.914680,-0.019738,-854.315247,939.971802,401.224121,0.460965
6742,26.990000,-0.398955,-0.075261,0.913652,-0.020250,-853.944214,940.073242,401.958588,0.583289
6743,26.995000,-0.400977,-0.075710,0.912708,-0.021211,-853.847534,940.534546,402.614014,0.527904
6744,27.000000,-0.402671,-0.076093,0.911889,-0.022900,-853.688354,941.058777,403.200989,0.402578
6745,27.005000,-0.404697,-0.077031,0.910886,-0.023926,-853.424744,941.690491,403.803619,0.568245
6746,27.010000,-0.405678,-0.080364,0.910146,-0.024535,-853.131287,942.584717,404.350494,0.562237
6747,27.015000,-0.406865,-0.083120,0.909352,-0.025118,-852.873596,943.464050,404.897491,0.631386
6748,27.020000,-0.407656,-0.082985,0.908964,-0.026744,-852.720398,944.214661,405.294434,0.526296
6749,27.025000,-0.408070,-0.081420,0.908919,-0.026756,-852.631714,944.715454,405.636444,0.517262
6750,27.030000,-0.408557,-0.082049,0.908604,-0.028058,-852.396057,945.603271,405.987244,0.481845
6751,27.035000,-0.408744,-0.082245,0.908483,-0.028674,-852.101440,946.583069,406.278992,0.461129
6752,27.040000,-0.408021,-0.083492,0.908676,-0.029263,-851.822754,947.614685,406.417694,0.448617
6753,27.045000,-0.407592,-0.083922,0.908807,-0.029921,-851.553101,948.562256,406.589478,0.426418
6754,27.050000,-0.406916,-0.085174,0.908969,-0.030657,-851.339661,949.576538,406.785248,0.376141
6755,27.055000,-0.406136,-0.085472,0.909277,-0.031024,-851.119385,950.554382,406.912140,0.342232
6756,27.060000,-0.406622,-0.083381,0.909190,-0.032859,-850.693726,951.614563,407.013580,0.532726
6757,27.065000,-0.406133,-0.082621,0.909391,-0.035180,-850.460938,952.710327,406.999420,0.536635
6758,27.070000,-0.405323,-0.081749,0.909730,-0.037701,-850.287292,953.698608,406.894043,0.525686
6759,27.075000,-0.404840,-0.079637,0.910086,-0.038800,-850.092468,954.665771,406.828094,0.557675
6760,27.080000,-0.404702,-0.078775,0.910167,-0.040082,-849.809814,955.807251,406.774200,0.512477
6761,27.085000,-0.404621,-0.078312,0.910106,-0.043082,-849.508118,957.039673,406.716492,0.439720
6762,27.090000,-0.403965,-0.077544,0.910355,-0.045317,-849.308105,958.258667,406.565186,0.397309
6763,27.095000,-0.403470,-0.077891,0.910396,-0.048213,-849.043762,959.522095,406.443756,0.309313
6764,27.100000,-0.402965,-0.075997,0.910712,-0.049482,-848.942749,960.380920,406.317017,0.471139
6765,27.105000,-0.402257,-0.078842,0.910652,-0.051823,-848.852356,961.612366,406.202148,0.498606
6766,27.110000,-0.401728,-0.073913,0.911170,-0.054046,-848.723145,962.322998,406.016632,0.511057
6767,27.115000,-0.401460,-0.074653,0.910994,-0.057850,-848.555969,963.500793,405.852081,0.503666
6768,27.120000,-0.401871,-0.075380,0.910548,-0.060990,-848.336731,964.567383,405.751312,0.597869
6769,27.125000,-0.402092,-0.072827,0.910448,-0.064051,-848.170898,965.405762,405.609833,0.538089
6770,27.130000,-0.401123,-0.069941,0.911035,-0.065000,-848.146790,966.241638,405.439636,0.302643
6771,27.135000,-0.401988,-0.068023,0.910630,-0.067322,-847.974060,967.060547,405.467102,0.547217
6772,27.140000,-0.402221,-0.065991,0.910510,-0.069538,-847.956055,967.796143,405.451935,0.687073
6773,27.145000,-0.402606,-0.065892,0.910171,-0.071799,-847.848267,968.628662,405.505127,0.608857
6774,27.150000,-0.403219,-0.064798,0.909851,-0.073397,-847.842102,969.373108,405.626465,0.625880
6775,27.155000,-0.403947,-0.064390,0.909437,-0.074870,-847.871155,970.117737,405.775116,0.670116
6776,27.160000,-0.405405,-0.064096,0.908725,-0.075879,-847.792053,970.897766,406.042023,0.569113
6777,27.165000,-0.406735,-0.063832,0.908147,-0.075907,-847.754883,971.487183,406.277710,0.556925
6778,27.170000,-0.407851,-0.063587,0.907691,-0.075576,-847.722168,971.999146,406.478027,0.531682
6779,27.175000,-0.408854,-0.063368,0.907321,-0.074770,-847.680969,972.432007,406.669586,0.542925
6780,27.180000,-0.410113,-0.064078,0.906730,-0.074450,-847.537964,972.917175,406.898773,0.485001
6781,27.185000,-0.410540,-0.063832,0.906640,-0.073388,-847.551941,973.246399,407.023376,0.571556
6782,27.190000,-0.410935,-0.065558,0.906341,-0.073357,-847.470459,973.781982,407.205902,0.524147
6783,27.195000,-0.411302,-0.066705,0.906052,-0.073829,-847.377075,974.216248,407.376160,0.529114
6784,27.200000,-0.411078,-0.068965,0.905906,-0.074792,-847.445313,974.751343,407.492279,0.303649
6785,27.205000,-0.411953,-0.068600,0.905414,-0.076252,-847.253601,975.022156,407.643738,0.527803
6786,27.210000,-0.412308,-0.069173,0.905107,-0.077450,-847.187622,975.476501,407.765259,0.518982
6787,27.215000,-0.412668,-0.068164,0.904918,-0.078626,-847.218872,975.787170,407.875458,0.512515
6788,27.220000,-0.413371,-0.066997,0.904540,-0.080271,-847.245422,976.097290,407.990845,0.479847
6789,27.225000,-0.413863,-0.064332,0.904365,-0.081868,-847.394043,976.265869,408.120056,0.301906
6790,27.230000,-0.415679,-0.064266,0.903374,-0.083645,-847.391785,976.671936,408.390564,0.527861
6791,27.235000,-0.417421,-0.061287,0.902632,-0.085196,-847.544189,976.778442,408.627838,0.572744
6792,27.240000,-0.420069,-0.057527,0.901330,-0.088527,-847.641052,976.793640,408.821411,0.418479
6793,27.245000,-0.421033,-0.061734,0.900585,-0.088701,-847.912109,977.457581,409.259094,0.526008
6794,27.250000,-0.423070,-0.060744,0.899541,-0.090265,-848.062439,977.648987,409.519257,0.518571
6795,27.255000,-0.424813,-0.061732,0.898632,-0.090470,-848.160156,977.931580,409.816681,0.623297
6796,27.260000,-0.426664,-0.060473,0.897672,-0.092118,-848.306030,978.088562,410.065216,0.633627
6797,27.265000,-0.428137,-0.053311,0.897345,-0.092895,-848.470947,977.551392,410.196289,0.930948
6798,27.270000,-0.429345,-0.052563,0.896687,-0.094084,-848.567200,977.504761,410.385345,0.952536
6799,27.275000,-0.429641,-0.050929,0.896640,-0.094083,-848.764954,977.286743,410.516357,0.824437
6800,27.280000,-0.429867,-0.050470,0.896464,-0.094966,-848.839966,977.181946,410.706116,0.773722
6801,27.285000,-0.430765,-0.047644,0.896185,-0.094995,-848.656860,976.749573,411.023590,1.085371
6802,27.290000,-0.430969,-0.047944,0.896161,-0.094144,-848.569885,976.588623,411.279968,0.816947
6803,27.295000,-0.431175,-0.049831,0.896150,-0.092301,-848.522339,976.434937,411.519714,0.569524
6804,27.300000,-0.430847,-0.051616,0.896466,-0.089759,-848.587097,976.030640,411.756683,0.543656
6805,27.305000,-0.430908,-0.054278,0.896340,-0.089143,-848.602051,975.905090,412.123077,0.474985
6806,27.310000,-0.431012,-0.055653,0.896346,-0.087718,-848.672363,975.413208,412.461029,0.433665
6807,27.315000,-0.431555,-0.050541,0.896714,-0.084323,-848.633728,974.359009,412.843079,0.561892
6808,27.320000,-0.431518,-0.050644,0.896976,-0.081615,-848.683350,973.777283,413.218872,0.592675
6809,27.325000,-0.432158,-0.048643,0.897048,-0.078604,-848.729248,973.003174,413.675568,0.576384
6810,27.330000,-0.432447,-0.046286,0.897312,-0.075351,-848.948669,972.246033,414.089294,0.512524
6811,27.335000,-0.433267,-0.046511,0.897082,-0.073211,-849.177063,971.619568,414.557251,0.544455
6812,27.340000,-0.433879,-0.046772,0.896896,-0.071684,-849.480896,970.933167,415.073761,0.563626
6813,27.345000,-0.434398,-0.046076,0.896786,-0.070352,-849.872864,970.077637,415.610107,0.612286
6814,27.350000,-0.435583,-0.044080,0.896385,-0.069413,-850.178650,969.072021,416.171082,0.607208
6815,27.355000,-0.438915,-0.038768,0.895073,-0.068520,-850.105530,967.741882,416.850616,0.739352
6816,27.360000,-0.439690,-0.036998,0.895013,-0.065236,-850.762634,966.618896,417.438293,0.715482
6817,27.365000,-0.441257,-0.038422,0.894155,-0.065600,-851.132568,965.616333,418.015747,0.643900
6818,27.370000,-0.442041,-0.040228,0.893723,-0.065123,-851.668274,964.901794,418.666809,0.390662
6819,27.375000,-0.444364,-0.038851,0.892626,-0.065190,-852.095337,963.774109,419.515778,0.405505
6820,27.380000,-0.446250,-0.037766,0.891875,-0.063194,-852.517273,962.372070,420.326538,0.519875
6821,27.385000,-0.448079,-0.036594,0.891014,-0.063089,-852.982788,961.040405,421.165955,0.507573
6822,27.390000,-0.449033,-0.033347,0.890772,-0.061503,-853.698059,959.540344,421.837280,0.580837
6823,27.395000,-0.452469,-0.030176,0.889217,-0.060458,-853.995605,958.100891,422.879517,0.523352
6824,27.400000,-0.456766,-0.028309,0.887061,-0.060723,-854.370911,956.584473,424.033295,0.506685
6825,27.405000,-0.459383,-0.029849,0.885621,-0.061254,-854.968445,955.388062,425.028442,0.497055
6826,27.410000,-0.462293,-0.028578,0.884185,-0.060709,-855.549133,953.906982,426.038696,0.493266
6827,27.415000,-0.465243,-0.025005,0.882756,-0.060540,-856.186279,952.126892,426.954407,0.656000
6828,27.420000,-0.468889,-0.020051,0.880932,-0.060826,-856.645752,950.401794,427.899261,0.483626
6829,27.425000,-0.471288,-0.016492,0.879940,-0.057627,-857.296143,948.733521,428.736908,0.352077
6830,27.430000,-0.474415,-0.016922,0.878177,-0.058728,-857.808899,947.324524,429.796906,0.459209
6831,27.435000,-0.476989,-0.015200,0.876731,-0.059947,-858.508301,945.656921,430.773468,0.472826
6832,27.440000,-0.479425,-0.013158,0.875560,-0.058073,-859.065002,943.764893,431.585907,0.690021
6833,27.445000,-0.481992,-0.009279,0.874286,-0.056756,-859.517639,941.792786,432.382172,0.398120
6834,27.450000,-0.483673,-0.008728,0.873454,-0.055335,-860.009521,939.871399,433.171509,0.572638
6835,27.455000,-0.483938,-0.008551,0.873523,-0.051853,-860.690002,937.978638,433.776245,0.570752
6836,27.460000,-0.486232,-0.004960,0.872447,-0.048896,-860.875732,935.679077,434.619049,0.411231
6837,27.465000,-0.486782,-0.007925,0.872285,-0.045823,-861.483032,933.722229,435.188721,0.307535
6838,27.470000,-0.488053,-0.009928,0.871797,-0.040934,-861.917725,931.652954,435.957367,0.244778
6839,27.475000,-0.490259,-0.011950,0.870753,-0.035969,-862.267090,929.432800,436.894409,0.511733
6840,27.480000,-0.490959,-0.016343,0.870462,-0.031440,-862.851440,927.410400,437.560150,0.463311
6841,27.485000,-0.492308,-0.023795,0.869718,-0.025611,-863.375427,925.528442,438.359344,0.661826
6842,27.490000,-0.493655,-0.027692,0.868976,-0.020479,-863.915405,923.298645,438.993469,0.621006
6843,27.495000,-0.495734,-0.027446,0.867902,-0.015528,-864.338440,920.757019,439.716522,0.452930
6844,27.500000,-0.497764,-0.028715,0.866785,-0.009526,-864.838928,918.379211,440.398956,0.449412
6845,27.505000,-0.500320,-0.032999,0.865209,-0.002313,-865.470398,916.096924,441.252045,0.454874
6846,27.510000,-0.501991,-0.039081,0.863988,0.001078,-866.155151,914.157043,441.969757,0.344786
6847,27.515000,-0.503795,-0.041296,0.862822,0.004812,-866.822144,912.016235,442.631592,0.320261
6848,27.520000,-0.505232,-0.046210,0.861721,0.006524,-867.567810,910.188904,443.210754,0.295332
6849,27.525000,-0.507877,-0.042354,0.860323,0.010553,-868.121887,907.626831,443.857758,0.265949
6850,27.530000,-0.509982,-0.045181,0.858920,0.011577,-868.896118,905.836853,444.518860,0.288934
6851,27.535000,-0.512380,-0.045392,0.857483,0.011364,-869.610779,903.861755,445.341370,0.465950
