TIMESTAMPms	M81GYROx	M81GYROy	M81OPTICALFLOWflowcompmx	M81OPTICALFLOWflowcompmy	M81OPTICALFLOWflowx	M81OPTICALFLOWgrounddistance
552	-0.00347005	0.0013142	0.087646	-0.482391	12790	-0.869618
558	-0.00408204	0.00100408	0.165925	-0.453648	6560	-0.873666
565	-0.00481536	-5.95799e-05	0.870103	0.0752452	6630	-0.486216
572	-0.00524549	-0.00146977	-0.893077	0.202329	6650	0.39761
578	-0.00502279	-0.00307375	0.89417	0	5980	-0.447272
584	-0.00425267	-0.00467756	-0.896058	-0.176026	5990	0.407515
589			0.0421417	0.0508811	5970	-0.997815
590	-0.00311462	-0.00601705				
595	-0.00199425	-0.00686699	-0.875553	0.476728	5930	-0.0526362
601	-0.000785422	-0.00723355	-0.620435	-0.601255	5990	0.502052
607	0.000109485	-0.00695033	0.565438	-0.0746162	5900	-0.821366
613	0.00101957	-0.00568069	-0.806432	-0.275422	5950	-0.521369
619	0.0017196	-0.00393246	-0.812591	0.155635	5910	-0.5597
625	0.00256463	-0.00131171	-0.577782	-0.0505963	5930	-0.814595
631	0.0032103	0.000881205	-0.90681	-0.0508777	6010	-0.418352
637	0.00401624	0.00325791	-0.866887	0.488901	5920	-0.0782192
643	0.00468925	0.00443109	-0.901275	-0.0273834	5930	-0.43225
649	0.00539884	0.00498801	-0.899711	-0.0753288	5930	-0.429805
655	0.00579914	0.00497071	-0.572564	-0.667824	5950	-0.474226
661	0.00608106	0.00439987	0.512303	-0.697483	5960	-0.49975
667	0.00595218	0.00353973	-0.539671	0.0751393	5990	-0.836496
673	0.00542095	0.00220095	-0.914103	0.0240185	6020	-0.404767
679	0.00460499	0.00105623	-0.731511	0.500676	5950	-0.459168
685	0.0032432	-0.000538833	0.027222	0.0747374	5930	-0.995133
691	0.00200218	-0.00174664	-0.612618	0.62374	6010	0.48387
703	-0.00161322	-0.00422786	-0.485581	-0.0748765	12380	-0.869036
709	-0.00289957	-0.00468173	-0.509571	-0.0745604	5940	-0.85671
715	-0.00416899	-0.00475913	-0.486901	0.0272609	6360	-0.87254
722	-0.00488397	-0.00454182	-0.592181	-0.718086	6650	-0.365615
729	-0.00514995	-0.00400844	-0.458787	0.024016	6570	-0.88811
735	-0.00463407	-0.00352093	0.497224	0.050807	6580	-0.865657
741	-0.00359905	-0.00309377	0.508919	-0.0744651	6050	-0.855615
747	-0.00204954	-0.00279188	-0.55367	-0.0508813	5930	-0.831138
753	-0.00021158	-0.00241443	0.675867	-0.463078	5980	-0.571392
759	0.00131698	-0.00229432	0.652992	-0.548107	6010	-0.521027
765	0.00306527	-0.00230478	-0.911772	0.0742392	5980	-0.399723
771	0.00412242	-0.00233432	0.719615	0.449222	5950	-0.527765
777	0.00479084	-0.00220811	-0.131147	-0.544491	5920	-0.828381
783	0.00475066	-0.00189027	0.654484	-0.468554	5930	-0.591475
789	0.00417679	-0.00139533	-0.830611	-0.551341	5960	-0.0523842
795	0.00325711	-0.00107605	-0.59267	-0.685878	6020	-0.4222
801	0.00196188	-0.000791152	-0.116402	0.479352	5950	-0.867923
807	0.000822537	-0.000742972	-0.671399	-0.522596	5950	-0.523763
813	-0.000543456	-0.000817721	-0.849205	0	5940	-0.526787
819	-0.00155276	-0.00106349	-0.556099	-0.690141	5940	-0.462628
825	-0.00259937	-0.00128022	-0.535219	-0.708714	5990	-0.455945
831	-0.00318624	-0.0013824	-0.924153	0.0239778	5940	-0.376807
837	-0.00371122	-0.00130667	-0.801484	-0.180332	6030	-0.568247
843	-0.00383148	-0.0012844	-0.782734	-0.186339	5950	-0.590956
855	-0.00320578	-0.00150187	-0.812487	-0.22939	12410	-0.532794
861	-0.00286647	-0.00165824	-0.627058	-0.535025	5920	-0.564183
867	-0.0026211	-0.0016848	-0.13325	-0.456226	5920	-0.879639
873	-0.00277582	-0.00154414	-0.845385	-0.164396	5940	0.506944
879	-0.0033978	-0.00132334	-0.577936	-0.577139	6330	0.574042
885	-0.00430833	-0.00104911	-0.699658	0.455061	6280	-0.549133
892	-0.00518516	-0.00115589	-0.900992	-0.0273671	6350	-0.432868
898	-0.00630852	-0.00162915	-0.851668	-0.243571	5930	-0.462836
904	-0.00720807	-0.00225277	-0.738497	-0.442624	5940	-0.506808
910	-0.00755474	-0.00276333	-0.354716	0.933006	5910	0.0174232
915	-0.0075433	-0.00328987	-0.90837	0	5950	-0.418166
922	-0.00709284	-0.00337047	-0.596465	-0.661552	6520	-0.454072
929	-0.00573385	-0.00312963	-0.856027	-0.123715	6590	-0.498531
935	-0.00359317	-0.00266511	-0.847223	0.219709	6040	-0.480168
941	-0.00112135	-0.00180132	-0.58554	0.60755	5950	0.534646
947	0.00117081	-0.000680312	-0.570971	0.600589	5960	0.557769
952	0.00405445	0.00123844	-0.873109	0.155035	5940	0.461478
959	0.00615368	0.0027409	-0.85273	0.232903	6040	0.463927
964	0.00806794	0.00441423	-0.841652	0.218149	5910	0.490566
970	0.00883522	0.00531549	-0.884303	0.194818	5950	0.424279
976	0.00856635	0.00571274	-0.838615	0.248284	5960	0.483799
982	0.00727211	0.00553885	-0.818025	0.250496	5920	-0.51585
988	0.00462507	0.00486718	-0.870455	0.0272855	5930	-0.48804
1001	-0.00183541	0.00272277	-0.590472	-0.639823	12630	0.490381
1007	-0.00547562	0.00156655	-0.55521	0.724292	6570	-0.404674
1014	-0.00827713	0.000639499	-0.0476037	0.835091	6620	-0.544958
1021	-0.00994151	-1.41257e-05	0.329388	-0.354802	6570	-0.873062
1027	-0.0102222	-0.000330979	-0.675609	0.462901	6200	-0.571848
1033	-0.009502	-0.000516478	-0.563077	0.0266086	5930	-0.823926
1039	-0.00773583	-0.000621026	-0.682111	0.482409	5950	-0.546469
1045	-0.00530635	-0.000665247	-0.146381	0.520343	5990	-0.839305
1051	-0.00308554	-0.000523932	-0.537623	-0.0749503	5960	-0.837831
1057	-0.000264845	-8.18105e-05	-0.177903	0.52305	5940	-0.831497
1062	0.00212266	0.00060917	-0.0457376	-0.88518	5940	-0.459332
1068	0.0051925	0.00132299	-0.898239	0.0752056	5930	-0.429102
1074	0.00711831	0.00178325	-0.711277	0.491714	5930	-0.501291
1080	0.0088477	0.00167007	-0.789913	-0.208296	5970	-0.574783
1086	0.00957367	0.000937702	0.563665	0.0239774	5960	-0.823605
1092	0.00957271	-0.000775697	-0.818575	0.177927	5970	-0.544131
1098	0.00878306	-0.00210183	-0.530897	0.734814	6010	-0.418109
1104	0.00718263	-0.00299416	0.0715148	-0.0508275	5920	-0.996143
1110	0.00581524	-0.00305112	-0.794971	-0.233238	5920	-0.556996
1116	0.00441516	-0.00264081	-0.641632	0.641953	5960	-0.415719
1122	0.00360463	-0.00244738	0.0755567	-0.859809	6000	-0.503239
1128	0.00327139	-0.00276323	-0.818858	-0.177981	5940	-0.543676
1134	0.00343063	-0.00324625	-0.81838	-0.177877	5960	-0.543359
1140	0.00401895	-0.00401783	-0.697087	-0.534513	5920	-0.476912
1152	0.0056891	-0.00480231	-0.894348	0.0518289	12370	-0.444232
1158	0.00685593	-0.00437427	-0.354716	-0.933006	5940	0.0174232
1164	0.00802493	-0.00364163	-0.824939	0.272755	6170	-0.493925
1171	0.00969086	-0.00304726	-0.339086	-0.936873	6570	0.0625846
1177	0.0112818	-0.0032218	-0.907083	-0.0508931	6530	-0.417729
1184	0.0123603	-0.00403308	-0.687308	-0.499392	6190	-0.525765
1190	0.0126484	-0.00476793	-0.90837	0	6320	-0.418166
1196	0.0121822	-0.00551798	-0.577782	0.0505963	6300	-0.814595
1202	0.0106432	-0.00598317	-0.794971	-0.233238	5960	-0.556996
1208	0.0086334	-0.00575657	-0.631763	0.554952	6020	-0.539602
1214	0.00536321	-0.00514672	-0.479009	0.751352	5930	-0.450154
1220	0.00142375	-0.00416357	-0.0708075	0.0436215	5900	-0.994837
1226	-0.00191444	-0.00334162	-0.809664	0.58343	5930	0.0259195
1232	-0.00586004	-0.00249151	0.358778	-0.931578	5940	-0.00824054
1238	-0.00858441	-0.00195681	-0.271875	0.958369	5960	0.0651122
1244	-0.0109939	-0.00140078	0.115015	-0.524698	5940	-0.843419
1250	-0.0119571	-0.000944062	0.627058	0.535025	6000	-0.564183
1256	-0.0118834	-0.00113637	0.884943	-0.0264088	5940	-0.4613
1262	-0.0109263	-0.00210591	-0.829443	0.208671	5940	0.514881
1268	-0.00873168	-0.00410456	0.899429	0.0753134	6000	-0.430424
1274	-0.0064693	-0.00576553	0.526716	0.051313	5930	-0.848461
1280	-0.00329476	-0.00716981	-0.862014	-0.269408	5960	0.429147
1286	-0.000829073	-0.00774706	-0.842559	-0.221095	5970	0.490092
1292	0.00151955	-0.00757908	-0.87259	-0.181565	5970	0.45275
1304	0.00300136	-0.00472205	-0.851668	0.243571	12360	-0.462836
1310	0.00243302	-0.00179964	-0.806432	-0.275422	5960	-0.521369
1316	0.00130355	0.000583438	-0.847703	-0.284307	5920	0.447608
1322	-0.000769499	0.00309149	-0.536635	-0.701866	5950	0.464787
1328	-0.00253159	0.00440518	-0.626702	-0.534722	6060	-0.563863
1334	-0.00456684	0.0048575	-0.878207	-0.471743	6600	0.0532758
1341	-0.00610103	0.0038614	-0.178407	-0.479738	6340	-0.857112
1347	-0.00715559	0.00175832	-0.0412859	-0.0437519	6020	-0.998187
1353	-0.00764504	-0.000227733	0.654751	0.468736	5930	-0.591027
1359	-0.00759312	-0.00248081	0.870466	0.0752654	6040	-0.485515
