TIMESTAMPms	M81GYROx	M81GYROy	M81GYROz	M81OPTICALFLOWflowcompmx	M81OPTICALFLOWflowcompmy	M81OPTICALFLOWflowx	M81OPTICALFLOWgrounddistance
371	-1.98657e-05	-0.000140121	-7.11813e-05	-0.0273197	-0.0268894	5230	-0.999264
376	-7.76036e-07	-9.9641e-05	-5.43771e-05	0.72825	-0.445404	5690	-0.517582
381	-2.29176e-05	-0.00014086	-7.65133e-05	0.337599	0.499315	5200	-0.797575
386	-2.59693e-05	-0.000124049	-8.03232e-05	-0.744043	0.0375191	5010	-0.66454
391	2.74786e-05	-0.000117165	-0.000107038	0.539937	-0.0127404	4960	-0.839598
397	-2.826e-05	-0.000124788	-7.11424e-05	-0.0758547	0.834026	5220	-0.544574
402	-1.90951e-05	-8.88912e-05	-9.63309e-05	-0.0127322	-0.0508907	5220	-0.998622
407	-4.04714e-05	-0.000100335	-7.34161e-05	0.89345	-0.00799329	5240	-0.445312
412	-2.13797e-05	-0.000143081	-0.000110057	-0.00381223	-0.0687401	5240	-0.995931
418	-1.37425e-05	-0.000110236	-9.783e-05	0	0	6200	0
423	2.59611e-05	-0.000143819	-7.87325e-05	-0.0272681	-0.0748641	4890	-0.99682
428	-8.3992e-06	-0.000132352	-8.25422e-05	0.51348	-0.0240076	4520	-0.857271
433	-5.42087e-05	-0.000139974	-0.000114601	-0.719177	0.448904	5220	-0.52862
438	7.64067e-06	-0.000128508	-8.09955e-05	-0.0355849	-0.0268466	5220	-0.999004
444	-3.05354e-05	-9.8718e-05	-0.000128325	0	0	5730	0
449	-1.83162e-05	-0.000110924	-9.54811e-05	0.244438	-0.966185	4720	0.0579943
454	-1.51728e-06	-9.94606e-05	-7.9438e-05	-0.0501417	-0.0508245	5270	-0.997446
459	-3.89289e-05	-0.000142207	-9.69906e-05	-0.0205912	0.0400479	5180	-0.998982
464	-9.9118e-06	-0.000109362	-7.71298e-05	0.280337	-0.95753	5170	0.0342948
470	1.47588e-08	-0.000143709	-2.13862e-05	0.390373	-0.415538	5230	-0.821156
475	-3.7397e-05	-0.000158201	-8.24645e-05	0.496308	-0.0667004	5250	-0.863626
480	3.07251e-06	-0.000138334	-9.00913e-05	0.463029	0.0257311	5190	-0.885505
485	-1.75424e-05	-0.000161989	-4.80895e-05	0.485607	-0.0749701	5240	-0.870522
491	-7.4357e-07	-0.000124561	-0.000120618	0.0395059	-0.0119901	5190	-0.997454
496	-4.19728e-05	-0.00011615	-8.31939e-05	-0.680996	0.509384	5290	-0.524385
507	2.42025e-08	-0.000129881	-6.40979e-05	-0.132547	-0.50458	10830	-0.85313
511	-6.48738e-05	-0.000143611	-0.000111429	-0.24468	0.483698	4780	-0.838323
517	-1.06584e-05	-0.000114584	-0.000112181	0.0296203	8.36585e-10	5190	-0.999558
522	1.60654e-05	-0.000120681	-8.16298e-05	0.497863	-0.0746783	5240	-0.862076
527	1.68272e-05	-0.000113797	-5.87164e-05	-0.831175	0.303535	5220	-0.465091
532	-1.90592e-05	-0.000121421	-9.30683e-05	-0.691861	-0.515918	5200	-0.503358
538	-2.59288e-05	-0.00012828	-7.01538e-05	-0.90837	0	5550	-0.418166
543	-2.74533e-05	-0.000138193	-0.000102978	-0.675609	-0.462901	5360	-0.571848
548	7.67073e-06	-0.000101531	-7.70081e-05	0.298219	-0.358055	4930	-0.884622
553	2.14131e-05	-9.923e-05	-9.9142e-05	0.309192	0.425095	5050	-0.848713
558	-4.95951e-05	-0.000134341	-9.60781e-05	-0.913466	-0.0264014	5250	-0.405946
564	-3.20295e-05	-0.00014578	-7.62173e-05	-0.278937	0.503134	5660	-0.817857
569	-2.13372e-05	-0.000122861	-8.46083e-05	0.0607429	-0.820514	5210	-0.566411
574	-2.97337e-05	-0.000130483	-8.76538e-05	0.490636	-0.01199	4980	-0.869339
579	9.20806e-06	-0.000126653	-0.000122766	-0.491735	-0.0628158	5040	-0.866529
584	-9.88049e-06	-0.000121296	-6.93087e-05	-0.461374	-0.592349	5140	-0.65953
590	-3.50752e-05	-0.000103723	-9.37339e-05	-0.739096	-0.488896	5240	-0.459715
595	1.60832e-05	-0.000102949	-8.91435e-05	-0.691443	-0.517005	5220	-0.502836
600	-3.35463e-05	-0.000133479	-0.000109749	0.0236999	-0.0789898	5210	-0.994896
605	-3.04889e-05	-0.000112851	-7.07995e-05	-0.0901647	-0.695094	5230	-0.710869
611	-2.74319e-05	-0.000123529	-9.1407e-05	0.472059	0	5220	-0.881455
616	-4.34627e-05	-0.000141841	-7.23103e-05	0.327398	0.478696	5210	-0.814417
621	-2.13167e-05	-9.75431e-05	-0.000109715	0.270935	-0.42998	5280	-0.860858
626	-2.99049e-06	-0.000139526	-0.000105886	0.299599	-0.0627582	5170	-0.950221
631	-8.33472e-06	-0.000135695	-8.3734e-05	-0.0338273	-0.0412651	5220	-0.998574
637	-3.42931e-05	-0.000133391	-7.91446e-05	-0.768331	-0.372693	5200	-0.517099
642	-4.95597e-05	-0.000118871	-9.74608e-05	0.402471	0.310679	5230	-0.859138
647	-3.73387e-05	-0.000129548	-0.000125701	0.0617724	0.00599643	5240	-0.996377
658	-1.21393e-05	-0.000144805	-0.000111182	-0.90681	0.0508777	10870	-0.418352
663	3.74897e-05	-0.000137155	-9.81909e-05	-0.465764	-0.258006	4750	-0.846136
668	-2.7412e-05	-0.000110419	-9.51271e-05	-0.716798	-0.525782	5220	-0.456887
673	1.76376e-05	-0.000139421	-9.13e-05	-0.00413087	0.0240185	5220	-0.999703
678	2.3657e-06	-7.98538e-05	-8.74734e-05	0.0575531	0	5220	-0.996647
684	-4.72624e-05	-0.000163831	-9.35727e-05	-0.0871065	0.0240184	5250	-0.995906
689	6.18773e-06	-0.000118768	-6.98947e-05	-0.0467586	-0.0240184	5190	-0.998612
694	-3.50422e-05	-0.000124864	-8.13402e-05	0.509571	-0.0745604	5220	-0.85671
699	-2.20591e-05	-0.000131723	-7.44606e-05	0.513768	-0.0512451	5300	-0.854421
705	-4.87796e-05	-0.000124075	-5.7656e-05	-0.0785823	0	5600	-0.995211
710	-5.64097e-05	-0.000129407	-7.59744e-05	0.0871065	-0.0240184	5210	-0.995906
715	9.25735e-06	-9.80906e-05	-6.37507e-05	0.207696	0.521116	5240	-0.827774
721	-5.56415e-05	-0.000121749	-6.45078e-05	0.0266465	-0.654895	5200	-0.754575
726	-9.82564e-06	-0.000110285	-8.2062e-05	0.42994	-0.01199	5000	-0.900903
731	-2.50948e-05	-0.000145395	-0.000104195	-0.905279	-0.0507969	4970	-0.417745
736	-3.34908e-05	-0.000124766	-7.51718e-05	0.35001	0.0240153	5230	-0.936301
741	-2.96699e-05	-0.000112537	-0.000103414	-0.0188881	-0.0711419	5290	-0.997283
746	-3.04305e-05	-0.000112526	-6.29378e-05	-0.0258378	-0.0418062	5150	-0.998785
751	-3.11909e-05	-0.000129312	-0.000100343	0.332127	0	5210	-0.94144
757	1.30955e-05	-0.000141515	-8.04821e-05	-0.337372	-0.423519	5200	-0.840658
762	-1.74461e-05	-0.000172041	-8.81091e-05	-0.723621	-0.466414	5240	-0.506952
767	-4.264e-05	-0.000135376	-0.000104134	-0.361423	0.53723	5250	-0.761221
772	1.08096e-05	-0.000101004	-6.67118e-05	-0.351592	-0.44338	5160	-0.82444
778	7.75453e-06	-0.000107866	-0.000117096	-0.0354335	-0.0427778	5230	-0.996761
783	1.38618e-05	-0.000110145	-9.87606e-05	-0.377628	-0.251186	5280	-0.889337
788	-3.50039e-05	-0.000127695	-9.03522e-05	0.00254807	-0.0383525	5160	-0.999254
793	3.29515e-05	-8.9507e-05	-8.95796e-05	-0.559916	-0.0494396	5210	-0.82707
804	-6.75404e-06	-0.000119275	-0.000126982	0.1012	0.501433	10850	-0.859013
809	-9.04389e-06	-0.000110101	-6.05448e-05	0.0243064	-0.814106	4790	-0.577293
814	-3.80562e-05	-0.000116198	-9.41329e-05	0.311325	-0.00183171	5260	-0.950227
819	1.00484e-05	-0.000116186	-0.000113211	-0.191297	0.498463	5250	-0.845472
825	-1.74388e-05	-0.000144424	-0.000108619	-0.421633	-0.770934	5470	-0.47662
830	3.21908e-05	-0.000139829	-0.0001025	-0.79468	-0.225655	5390	-0.561694
836	3.60051e-05	-0.000140578	-9.71451e-05	0	0	5710	0
840	-6.17272e-05	-0.000148199	-6.88857e-05	-0.676628	-0.463989	4420	-0.569893
845	-7.51213e-06	-0.000148948	-8.49124e-05	0.168868	0.509149	5060	-0.841944
851	-1.66735e-05	-0.00011992	-9.17755e-05	-0.0187037	0	5220	-0.999825
856	1.08144e-05	-0.000135942	-5.0537e-05	-0.719177	0.448904	5210	-0.52862
861	-6.7473e-06	-0.000112259	-8.79437e-05	-0.351592	-0.44338	5220	-0.82444
867	-1.36182e-05	-0.000120647	-7.87729e-05	-0.0107168	0	5650	-0.999942
872	1.84504e-05	-0.000109945	-8.86905e-05	0.8878	-0.0259411	5280	-0.459209
877	2.37931e-05	-0.000126732	-0.000107769	-0.668809	-0.513988	4950	-0.533979
882	-3.11817e-05	-0.000134354	-7.41643e-05	0.0588892	0	5000	-0.99657
887	5.46969e-06	-0.000106091	-0.000106224	-0.133696	0.479949	5230	-0.865098
892	-6.24828e-05	-0.000128985	-7.72003e-05	0.23435	-0.451077	5200	-0.860684
898	-3.80444e-05	-0.000115993	-9.70437e-05	0.473712	0	5240	-0.88053
903	-2.91939e-06	-0.000100711	-5.27507e-05	0.260941	0.0506422	5230	-0.962271
908	-1.43717e-05	-0.000103755	-8.78667e-05	-0.134726	-0.818116	5250	-0.55728
913	-5.6363e-05	-0.000145738	-9.01484e-05	-0.331711	-0.462832	5160	-0.819985
918	-1.74186e-05	-0.000126635	-5.73086e-05	-0.0434013	-0.0119901	5230	-0.997292
924	1.23598e-05	-9.99e-05	-7.71541e-05	0.57951	0.25459	5230	-0.771995
929	1.54126e-05	-0.00013043	-9.54705e-05	0.236929	0.494622	5210	-0.834166
934	-3.87979e-05	-0.000128127	-4.43061e-05	-0.669337	-0.491927	5210	-0.554819
939	-1.89429e-05	-0.000132695	-8.78214e-05	0.743827	-0.460881	5230	-0.482999
945	-4.49001e-05	-8.99253e-05	-7.1779e-05	-0.351592	-0.44338	5200	-0.82444
956	-3.42066e-05	-0.000109767	-0.000116819	0.890631	-0.00799387	10990	-0.450925
960	5.43634e-05	-0.000105939	-0.00011757	-0.530054	-0.677462	4670	-0.508699
965	-2.35195e-05	-8.60772e-05	-9.00725e-05	0.473364	-0.0255383	5220	-0.878574
971	-2.19902e-05	-0.000109737	-5.49423e-05	-0.421312	-0.273837	5210	-0.86263
976	-3.49676e-05	-0.000107436	-0.000102274	-0.411793	-0.228039	5220	-0.880367
981	-2.8856e-05	-0.000146364	-8.47033e-05	-0.692051	-0.516055	5230	-0.502935
986	-3.65747e-06	-0.00012268	-0.000139667	0.170611	0.490533	5300	-0.852577
992	-3.65712e-06	-8.44929e-05	-9.38429e-05	-0.22375	0.45145	5620	-0.863313
997	1.68779e-06	-0.000111971	-6.94013e-05	-0.342242	-0.376618	5210	-0.860541
1002	1.08497e-05	-0.0001425	-7.7793e-05	-0.679341	-0.472349	5230	-0.558576
1008	3.97704e-06	-0.000146303	-7.77852e-05	0.222259	0.498721	5200	-0.837763
1013	-2.35096e-05	-0.000133309	-9.9919e-05	-0.353271	-0.421103	4930	-0.833361
1018	-1.43451e-05	-0.000117262	-6.93688e-05	-0.699436	-0.454923	5030	-0.549548
1023	1.46695e-05	-0.00013023	-5.18013e-05	0.0648099	-0.0119901	5230	-0.996129
1028	-5.94661e-06	-0.000120291	-5.86677e-05	-0.30963	-0.390425	5280	-0.866872
1033	1.00876e-05	-0.000114935	-7.24049e-05	-0.675335	-0.541568	5150	-0.499264
1038	-3.26697e-05	-0.00010347	-9.37758e-05	-0.0406537	-0.0657789	5240	-0.997
1044	-2.88489e-05	-9.35345e-05	-7.84963e-05	0.540153	0.0750736	5220	-0.838173
1049	-5.48052e-05	-0.000121011	-0.000105211	-0.0356566	-0.0576934	5190	-0.996002
1054	1.62062e-05	-0.000133979	-7.16064e-05	-0.00929501	-0.28779	5220	-0.957642
1059	-3.03692e-05	-0.000159925	-7.84708e-05	0.60001	-0.229585	5230	-0.764134
1065	-2.88391e-05	-0.000114098	-0.000115875	0.00139924	0.0627462	5200	-0.996333
1070	1.76939e-07	-0.00015608	-9.14309e-05	-0.0255558	0.0240185	5310	-0.999384
1075	2.00281e-05	-0.000134686	-7.46247e-05	0.246238	0.509981	5170	-0.822135
1080	2.38436e-05	-0.000123983	-0.000115846	0.178601	0.507161	5180	-0.843014
1085	-2.88407e-05	-0.000133897	-0.000118125	-0.666735	-0.505793	5230	-0.545757
1091	-3.41823e-05	-0.000103343	-8.52829e-05	0.210622	0.430783	5230	-0.877066
1096	1.08679e-05	-0.0001354	-9.90174e-05	-0.732376	-0.501268	5220	-0.459711
1107	3.99524e-06	-0.000101792	-7.30484e-05	-0.131428	-0.289113	10860	-0.948081
1112	1.39204e-05	-9.87279e-05	-9.36557e-05	-0.918777	-0.0498988	5080	-0.391495
1117	-1.58577e-05	-0.00012315	-9.74638e-05	-0.777011	-0.416376	5380	-0.468515
1122	-3.64707e-05	-0.000141462	-7.53124e-05	-0.672574	-0.49758	5220	-0.546114
1128	-5.82358e-07	-7.65499e-05	-6.91969e-05	-0.685864	-0.518178	5230	-0.509419
1133	-1.12714e-05	-0.000103265	-0.000105838	-0.642902	-0.511854	5190	-0.56684
1138	1.70934e-06	-0.000150592	-6.99429e-05	0.138188	0.534158	4820	-0.831984
1143	1.39252e-05	-0.000126145	-8.2152e-05	-0.901779	-0.0629963	5170	-0.42361
1148	-2.73054e-05	-0.000135294	0.000114841	-0.700198	-0.494468	5190	-0.511711
1153	1.71049e-06	-0.00014826	-0.000112695	-0.55057	0.0507998	5290	-0.831211
1158	-4.33365e-05	-0.000135266	-8.3671e-05	0.0184317	-0.0319744	5150	-0.999316
1164	-2.72986e-05	-0.00013907	-3.32713e-05	-0.044596	-0.0181437	5240	-0.998838
1169	-3.49309e-05	-0.000148981	-0.000105801	-0.668077	-0.51084	5200	-0.539157
1174	-2.42383e-05	-0.000105447	-8.44122e-05	-0.425226	-0.486065	5230	-0.762634
1179	-1.58374e-05	-0.000132159	-0.000101964	0.0395308	-0.0376692	5220	-0.9985
1185	-5.14671e-06	-0.000142071	-4.01102e-05	-0.380744	-0.22192	5180	-0.897537
1190	-3.61919e-06	-8.47941e-05	-8.0572e-05	0.162059	0.239388	5270	-0.957188
1195	-5.14585e-06	-0.00013594	-7.90369e-05	0.361423	0.53723	5260	-0.761221
1200	1.99198e-07	-0.000101569	-9.12451e-05	-0.698424	-0.482872	5150	-0.526511
1205	-1.73614e-05	-0.000159585	-0.000103452	-0.611278	-0.24379	5220	-0.752313
1211	-1.96502e-05	-0.00011834	-0.000102678	0.135136	0.502333	5230	-0.852068
1216	9.66375e-07	-0.00011222	-9.35059e-05	-0.693643	-0.483946	5210	-0.530359
1221	-4.6371e-05	-0.000123662	-6.44833e-05	-0.70632	-0.442681	5230	-0.549336
1226	-4.02584e-05	-0.000130521	-5.68418e-05	-0.672903	-0.386868	5220	-0.62782
1232	2.61706e-05	-9.23325e-05	-0.000111809	-0.91422	-0.0254583	5220	-0.404382
1237	-1.50613e-05	-0.000128208	-0.000112561	-0.766758	-0.368093	5200	-0.522698
1242	-2.26948e-05	-8.69659e-05	-6.21583e-05	-0.00117926	-0.0521964	5240	-0.998626
1253	-1.81115e-05	-0.000119024	-9.19287e-05	0.517342	-0.680369	10830	-0.515826
1258	1.9302e-05	-0.000101452	-0.000100318	0.471171	-0.0239804	4820	-0.879796
1263	2.1246e-07	-0.000121293	-0.000138483	-0.177385	0.500555	5220	-0.845339
1268	-1.12401e-05	-0.000128152	-7.50986e-05	0.194779	0.452456	5210	-0.868313
1273	-3.18537e-05	-8.76737e-05	-0.000120138	-0.461191	-0.0257311	5290	-0.886462
1279	-2.72695e-05	-0.00013882	-0.000129288	-0.00858259	-0.0640797	5620	-0.996212
1284	-4.02463e-05	-0.000134225	-7.96471e-05	0.169054	0.500899	5230	-0.846841
1289	-3.03167e-05	-0.000134211	-6.97136e-05	0.146621	0.521195	4800	-0.840679
1294	-1.73341e-05	-0.000138016	-8.03957e-05	-0.911904	-0.0743477	5150	-0.403502
1299	-1.88594e-05	-0.000167015	-6.58811e-05	0.768819	-0.0254419	5220	-0.63759
1305	-4.35091e-06	-0.000142566	-8.87796e-05	-0.580659	-0.409462	5210	-0.701282
1310	-3.41272e-05	-0.000127282	-8.26627e-05	0.117652	-0.0240181	5220	-0.992749
1315	-1.96172e-05	-0.000100546	-6.05128e-05	0.0421417	0.0508811	5410	-0.997815
1321	4.81695e-06	-0.000125732	-8.79929e-05	-0.136521	-0.460732	5490	-0.875048
1326	-2.19062e-05	-0.000119611	-5.97344e-05	-0.846346	-0.298338	5230	-0.440438
1331	-3.94647e-05	-0.000124944	-0.000105539	-0.0507924	-0.0239805	4750	-0.996726
1336	1.62752e-05	-0.00011806	-6.73529e-05	0.350724	0.516178	5220	-0.780675
1341	-2.11382e-05	-9.13253e-05	-8.10893e-05	-0.678331	0.448784	5220	-0.578865
1346	-2.18996e-05	-0.000111931	-0.000106277	-0.605545	-0.408376	5230	-0.680564
1352	1.85683e-05	-9.4359e-05	-0.000118482	-0.1012	0.501433	5230	-0.859013
1357	-5.10219e-06	-0.000172991	-7.72412e-05	-0.746284	-0.404952	5250	-0.526596
1362	-3.48784e-05	-0.000112656	-0.000124571	-0.716184	-0.439674	5160	-0.53888
1367	-8.91573e-06	-0.000139368	-0.000112342	0.907363	-0.0506341	5260	-0.413218
1372	-3.0293e-05	-0.00012103	-7.95003e-05	-0.314536	-0.378493	5180	-0.870236
1378	2.01014e-05	-7.90249e-05	-8.25464e-05	0.0495392	-0.709139	5220	-0.70307
1383	-1.42584e-05	-9.88681e-05	-0.000114605	-0.191801	0.520432	5250	-0.830049
1388	-2.4946e-05	-0.000101912	-9.39792e-05	-0.343311	-0.353815	5180	-0.868085
1393	2.01033e-05	-0.00012099	-8.78618e-05	0.0532618	0.0196307	5230	-0.996692
1405	-1.9601e-05	-0.000124795	-0.000105414	-0.71862	-0.448557	11790	-0.528211
1410	-1.73085e-05	-0.000123256	-0.000105403	-0.735533	-0.433339	4420	-0.517525
1414	-5.2428e-05	-0.000124007	-6.72173e-05	-0.176497	-0.522276	4650	-0.832284
1419	-1.27205e-05	-0.000137737	-9.92778e-05	-0.0742319	-0.0181065	5230	-0.997074
1425	-8.13825e-06	-0.000124744	-7.10181e-05	0.146695	-0.833094	5210	-0.530149
1430	-1.3482e-05	-8.96104e-05	-0.000106132	-0.0569301	-0.0748322	5240	-0.995569
1435	-2.03522e-05	-0.00014381	-0.000128263	0.154504	0.465333	5230	-0.869605
1441	-1.95866e-05	-6.43914e-05	-7.78591e-05	-0.199233	-0.459319	5590	-0.863687
1446	-4.17263e-05	-0.000135391	-7.40338e-05	0.0368195	0.0119901	5230	-0.997556
1451	-8.12795e-06	-0.000121634	-8.7006e-05	0.0127322	-0.0508907	4830	-0.998622
1456	3.92102e-05	-0.000175068	-9.76864e-05	0.275488	0.436581	5210	-0.854474
1462	-7.36757e-06	-0.000119314	-9.99671e-05	-0.355598	-0.474733	5560	-0.804412
1467	-1.11844e-05	-7.34919e-05	-9.99571e-05	0.0723301	0	5210	-0.997378
1472	-4.93585e-05	-0.000136855	-8.77311e-05	-0.180966	0.513891	4880	-0.838443
