TIMESTAMPms	M81GYROx	M81GYROy	M81GYROz	M81OPTICALFLOWflowcompmx	M81OPTICALFLOWflowcompmy	M81OPTICALFLOWflowx	M81OPTICALFLOWgrounddistance
12	0.000117542	0.000121805	0.000200994	-0.161404	-0.531062	5950	-0.831796
18	8.46992e-05	0.000249298	0.000268926	-0.162371	0.49997	5940	-0.850617
24	-2.60176e-05	0.000318752	0.000229197	-0.198417	0.53017	5940	-0.822295
30	-0.000151993	0.000217174	0.000175728	-0.162371	-0.49997	5960	-0.850617
36	-0.000216113	5.2235e-05	8.56172e-05	-0.0857452	-0.522403	6010	-0.848129
42	-0.000203875	-1.2156e-06	2.91092e-05	0.615877	0.225095	5920	-0.752762
48	-0.000134376	5.45204e-05	7.79707e-05	-0.203888	-0.56061	5930	-0.802383
54	-0.000113747	0.000194236	0.000124537	-0.147648	0.455004	5940	-0.876237
60	-3.89126e-05	0.000284311	0.00012147	-0.154504	-0.465333	5950	-0.869605
66	-9.61716e-05	0.000138453	0.000132911	-0.204318	5.23401e-10	5910	-0.977176
72	-0.000116777	-7.68696e-05	0.000110756	-0.492281	0.01199	6030	-0.868409
86	-5.4921e-05	-0.000178408	0.000163426	0	0	13840	0
91	7.64074e-05	-0.000129526	0.000289389	-0.150956	-0.53251	5950	-0.830821
98	0.000139771	-0.000162344	0.000374109	0	0	6680	0
104	0.000341322	-8.52135e-05	0.00048707	-0.161878	0.542965	5950	-0.823806
111	0.000375646	6.41567e-06	0.000548102	0	0	6720	0
118	0.000321399	1.25231e-05	0.000657228	0	0	6730	0
124	0.000296171	-4.39776e-05	0.000767107	-0.900453	-0.0240117	6620	-0.43382
131	0.000260257	-0.00013483	0.000880029	0.437447	0.269439	6550	-0.855958
137	0.000154104	-0.000310423	0.000852455	-0.161878	0.542965	6300	-0.823806
143	5.86502e-05	-0.000356966	0.000753878	-0.453873	2.38249e-10	5920	-0.889167
149	4.41377e-05	-0.000424119	0.000633932	0.608732	-0.317352	5930	-0.724814
155	-9.55882e-05	-0.000397353	0.000360534	0.0719077	0.502019	5930	-0.861618
161	-5.43493e-05	-0.000325544	0.000172675	0.53215	0.0391489	5980	-0.843742
167	6.09454e-05	-0.000336201	-4.11234e-05	-0.194845	0.452453	5940	-0.8683
173	9.75876e-05	-0.000281195	-0.000234286	0.194778	0.452456	5930	-0.868313
179	0.00021134	-0.000169695	-0.00041674	-0.65959	-0.527077	5950	-0.532687
185	0.000305994	-8.18748e-05	-0.000411354	0.186185	-0.534248	5930	-0.822517
191	0.000483096	-0.000139129	-0.000520494	0	0	6680	0
197	0.000644148	-8.79607e-05	-0.000431876	0.714422	-0.074732	5920	-0.693279
203	0.000814345	1.05403e-05	-0.000273023	-0.688766	-0.472286	6000	-0.548364
209	0.00102194	2.58093e-05	-0.000114951	0.48708	0.0255466	5960	-0.872512
215	0.00105237	2.04622e-05	-4.77505e-05	0.161878	0.542965	5920	-0.823806
221	0.00110266	0.000128114	-9.57051e-06	-0.105742	0.507447	5980	-0.853192
233	0.00100635	0.00011894	0.000237043	0.208351	0.473525	12360	-0.855304
239	0.000813845	-1.79205e-07	0.000233201	-0.182531	0.551124	5940	-0.812135
246	0.000706873	-0.000111651	0.000346177	0.687308	-0.499392	6660	-0.525765
253	0.000468588	-0.000229983	0.000458378	0.187	0.468798	6550	-0.863114
259	0.000215058	-0.000215454	0.000486581	-0.209871	0.478704	6590	-0.852506
265	-1.70692e-05	-0.000244445	0.000491877	0.152508	0.454806	6090	-0.875507
271	-0.000207944	-0.00025511	0.000436856	-0.212905	-0.496138	5950	-0.839724
277	-0.000328557	-0.000242105	0.000391765	-0.139347	0.523993	5940	-0.838232
283	-0.000518637	-0.000254297	0.000355841	-0.140762	0.444583	6170	-0.882695
289	-0.000516295	-0.000315352	0.000248915	0.238671	-0.475386	6120	-0.846634
295	-0.000569688	-0.000377164	0.000214532	-0.620287	0.260561	5990	-0.739107
301	-0.000529165	-0.000369491	0.00019695	0.352355	0.242828	5940	-0.903761
307	-0.000467269	-0.000314482	0.000149593	-0.1999	0.44509	5950	-0.870951
314	-0.000458823	-0.000332011	0.000135072	0	0	6690	0
320	-0.000290043	-0.000395349	5.25996e-05	-0.195028	0.453036	5950	-0.869427
326	-0.000211373	-0.000414397	-5.58234e-05	-0.34343	-0.191593	5960	-0.917588
332	-0.000133474	-0.00048078	-0.000189431	-0.307238	-0.511503	5960	-0.800368
338	1.46593e-05	-0.000494475	-0.000287141	-0.09341	-0.51121	5930	-0.852384
344	0.000129947	-0.000350887	-0.00030849	-0.373385	-0.492824	5940	-0.783793
350	0.000210102	-0.000324129	-0.000267994	0.147299	0.523283	5920	-0.839254
356	0.000330715	-0.000288975	-0.000280183	0.151298	0.436111	5930	-0.886616
361	0.000342898	-0.000366824	-0.000288554	-0.222132	0.507216	5930	-0.832603
367	0.000288655	-0.000501928	-0.000170945	-0.343231	-0.453571	6030	-0.822335
373	0.000315349	-0.000556087	-0.000238116	-0.17928	0.474928	5940	-0.861094
386	0.000290121	-0.00043387	-5.79052e-05	0.0802502	0	12340	-0.99677
392	0.000245809	-0.000427719	-4.26293e-05	-0.186933	0.463434	5940	-0.864237
398	0.000150346	-0.000464324	-1.66659e-05	-0.235817	0.516116	5950	-0.823415
404	7.01632e-05	-0.000527649	-7.39271e-05	0.541937	0.0257592	5910	-0.839924
410	-4.2079e-05	-0.00058944	-5.33051e-05	-0.19301	0.499055	6550	-0.844491
418	-8.94122e-05	-0.000641299	-0.000125069	0	0	7400	0
424	-0.00010391	-0.000632836	-0.00015636	-0.347381	0.482999	6600	-0.80166
431	-0.000113825	-0.000496869	-0.000306755	0.249022	-0.0467337	6440	-0.965621
436	-0.000113825	-0.000496869	-0.000306755	-0.203888	0.56061	5940	-0.802383
437	-0.000119158	-0.000347173	-0.000475459	-0.203888	0.56061	5940	-0.802383
442	-0.000142051	-0.000184511	-0.00051206	0.104058	0.456979	5930	-0.883178
448	-0.000216097	-0.00029062	-0.000557819	-0.879245	-0.0508545	6040	-0.472783
454	-0.000320676	-0.000426495	-0.000515007	0.569352	0.0337807	5910	-0.821399
460	-0.000362637	-0.000531052	-0.000452348	-0.222404	0.0509311	5930	-0.973622
466	-0.00045193	-0.000830293	-0.000464519	-0.187671	-0.473566	5960	-0.858566
472	-0.00039844	-0.00100505	-0.00034842	-0.115263	-0.521593	5940	-0.845125
478	-0.000283111	-0.0010752	-0.000138421	-0.166138	0.454231	5940	-0.874788
484	-0.000157868	-0.00103462	1.35304e-05	-0.591286	-0.268788	5990	-0.759612
490	1.16464e-05	-0.000977255	0.000218912	0.576866	0	5970	-0.816608
