Format Version,1.21,Take Name,flow81AV,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2016-05-30 12.17.07 AM,Total Frames in Take,24615,Total Exported Frames,24615,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,brice,brice,brice,brice,brice,brice,brice,brice
,,"8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
54,0.216000,0.000340,-0.823710,0.001417,-0.567009,-1516.521362,-7.288990,119.712257,1.025958
55,0.220000,0.001111,-0.823729,0.001721,-0.566980,-1516.521973,-7.364031,119.681877,1.034572
56,0.224000,0.000265,-0.823855,0.001822,-0.566797,-1516.387451,-7.197336,119.630219,1.191656
57,0.228000,0.001121,-0.823773,0.002317,-0.566914,-1516.513306,-7.285267,119.687218,1.014945
58,0.232000,0.000837,-0.823730,0.002049,-0.566978,-1516.525757,-7.359323,119.705544,0.992382
59,0.236000,0.000111,-0.823905,0.002264,-0.566724,-1516.366089,-7.160501,119.646942,1.190227
60,0.240000,0.000039,-0.823919,0.002352,-0.566703,-1516.409790,-7.216997,119.634010,1.203086
61,0.244000,0.000841,-0.823705,0.001774,-0.567015,-1516.554688,-7.377517,119.690948,0.991936
62,0.248000,-0.000163,-0.823635,0.001601,-0.567118,-1516.510132,-7.253820,119.728271,0.985332
63,0.252000,-0.000495,-0.823647,0.001836,-0.567100,-1516.494385,-7.271008,119.713448,1.029594
64,0.256000,0.000775,-0.823655,0.001148,-0.567090,-1516.527832,-7.356811,119.689201,1.012246
65,0.260000,-0.000041,-0.823786,0.001993,-0.566898,-1516.386353,-7.180882,119.649178,1.218262
66,0.264000,0.000746,-0.823755,0.001721,-0.566943,-1516.541504,-7.348557,119.681335,1.018526
67,0.268000,0.000268,-0.823708,0.002253,-0.567010,-1516.515869,-7.282576,119.709358,1.005269
68,0.272000,0.000924,-0.823674,0.001762,-0.567060,-1516.512573,-7.309121,119.689644,1.022554
69,0.276000,0.000226,-0.823724,0.002163,-0.566987,-1516.507446,-7.292828,119.692513,1.021170
70,0.280000,0.000076,-0.823711,0.001994,-0.567006,-1516.488037,-7.270064,119.690102,1.046053
71,0.284000,0.000309,-0.823660,0.001785,-0.567080,-1516.532715,-7.324152,119.689278,1.034167
72,0.288000,0.001048,-0.823887,0.002314,-0.566748,-1516.375244,-7.196446,119.652702,1.178253
73,0.292000,0.001042,-0.823872,0.002119,-0.566770,-1516.379395,-7.201570,119.652245,1.180375
74,0.296000,0.000740,-0.823748,0.001995,-0.566952,-1516.490234,-7.258140,119.709946,0.984828
75,0.300000,0.001322,-0.823624,0.001523,-0.567132,-1516.553589,-7.376547,119.681541,0.987666
76,0.304000,0.001181,-0.823779,0.001828,-0.566907,-1516.536377,-7.319906,119.693970,1.010322
77,0.308000,0.000834,-0.823711,0.001993,-0.567006,-1516.518677,-7.327443,119.708145,1.004327
78,0.312000,0.001111,-0.823674,0.001425,-0.567061,-1516.518433,-7.334422,119.683861,1.021979
79,0.316000,0.001196,-0.823650,0.001417,-0.567095,-1516.535156,-7.395640,119.683739,0.993370
80,0.320000,0.000543,-0.823676,0.001990,-0.567057,-1516.498169,-7.287322,119.705185,1.012378
81,0.324000,-0.000123,-0.823834,0.002147,-0.566827,-1516.381470,-7.176687,119.663033,1.184843
82,0.328000,0.000999,-0.823842,0.002498,-0.566813,-1516.507446,-7.314907,119.707298,1.020138
83,0.332000,0.000698,-0.823575,0.001220,-0.567205,-1516.527832,-7.318100,119.690765,1.024053
84,0.336000,0.000737,-0.823669,0.001757,-0.567067,-1516.501221,-7.312810,119.702972,0.988073
85,0.340000,0.002292,-0.823807,0.001746,-0.566863,-1516.527588,-7.396400,119.695084,1.010493
86,0.344000,0.001021,-0.823602,0.001589,-0.567165,-1516.549316,-7.367193,119.705574,0.997584
87,0.348000,0.001283,-0.823730,0.001563,-0.566979,-1516.535278,-7.360909,119.702133,0.995258
88,0.352000,0.000671,-0.823763,0.001935,-0.566930,-1516.526489,-7.352513,119.697075,0.995766
89,0.356000,0.001572,-0.823695,0.001424,-0.567029,-1516.541748,-7.386254,119.677116,1.030139
90,0.360000,0.000468,-0.823735,0.001384,-0.566973,-1516.515503,-7.344748,119.671814,1.038845
91,0.364000,0.001087,-0.823687,0.001342,-0.567042,-1516.522461,-7.329644,119.693840,1.012169
92,0.368000,0.000084,-0.823650,0.001954,-0.567096,-1516.531250,-7.327346,119.702621,1.017780
93,0.372000,0.000722,-0.823677,0.001544,-0.567056,-1516.552856,-7.345128,119.693199,1.010643
94,0.376000,-0.000436,-0.823617,0.001491,-0.567145,-1516.543091,-7.350186,119.695442,1.017681
95,0.380000,0.000950,-0.823732,0.001809,-0.566976,-1516.540405,-7.357049,119.701767,1.012805
96,0.384000,0.001371,-0.823760,0.002026,-0.566933,-1516.553833,-7.360710,119.703629,0.990351
97,0.388000,-0.000171,-0.823710,0.001911,-0.567008,-1516.539185,-7.305952,119.696869,1.034472
98,0.392000,0.000644,-0.823700,0.001571,-0.567024,-1516.545410,-7.345917,119.689156,1.011031
99,0.396000,0.001132,-0.823717,0.001815,-0.566997,-1516.514038,-7.304630,119.710434,1.018075
100,0.400000,0.000399,-0.823813,0.002072,-0.566858,-1516.418091,-7.195649,119.644051,1.190685
101,0.404000,0.001141,-0.823627,0.001834,-0.567128,-1516.523926,-7.317384,119.710793,0.995060
102,0.408000,0.000648,-0.823680,0.001513,-0.567053,-1516.525513,-7.343943,119.696991,1.024276
103,0.412000,0.000877,-0.823667,0.001433,-0.567071,-1516.535400,-7.364447,119.697166,1.024733
104,0.416000,-0.000058,-0.823671,0.001891,-0.567065,-1516.505127,-7.241113,119.702446,1.011745
105,0.420000,0.000265,-0.823684,0.001959,-0.567046,-1516.525635,-7.288180,119.711761,1.018970
106,0.424000,0.000699,-0.823727,0.001770,-0.566983,-1516.520142,-7.294611,119.708206,0.981521
107,0.428000,0.000679,-0.823736,0.002011,-0.566969,-1516.529053,-7.292521,119.715042,1.020965
108,0.432000,0.000056,-0.823866,0.002128,-0.566781,-1516.400757,-7.161166,119.653152,1.197586
109,0.436000,0.000883,-0.823595,0.001684,-0.567176,-1516.540405,-7.351510,119.686134,0.989030
110,0.440000,0.000323,-0.823722,0.001957,-0.566990,-1516.532959,-7.349356,119.709305,1.014433
111,0.444000,0.001766,-0.823795,0.001774,-0.566883,-1516.524902,-7.380205,119.696426,1.008220
112,0.448000,0.000547,-0.823665,0.001797,-0.567074,-1516.497070,-7.291711,119.701881,1.012117
113,0.452000,0.001133,-0.823694,0.001724,-0.567030,-1516.541138,-7.363130,119.696404,0.998444
114,0.456000,0.001757,-0.823675,0.001345,-0.567057,-1516.548340,-7.387759,119.690735,0.995839
115,0.460000,0.000603,-0.823558,0.001421,-0.567230,-1516.524414,-7.311315,119.700577,1.024021
116,0.464000,0.000278,-0.823807,0.002252,-0.566865,-1516.410645,-7.186640,119.660057,1.200018
117,0.468000,0.000452,-0.823688,0.001683,-0.567041,-1516.525146,-7.320397,119.708221,0.996995
118,0.472000,0.001026,-0.823657,0.001365,-0.567086,-1516.546875,-7.395436,119.694611,0.999095
119,0.476000,0.000114,-0.823665,0.001590,-0.567074,-1516.506470,-7.280881,119.706085,1.014027
120,0.480000,0.000010,-0.823875,0.002632,-0.566765,-1516.410645,-7.175173,119.650414,1.188771
121,0.484000,0.000939,-0.823745,0.002051,-0.566956,-1516.527710,-7.299109,119.716995,1.009368
122,0.488000,0.000572,-0.823677,0.001560,-0.567057,-1516.529175,-7.296387,119.688965,1.010373
123,0.492000,0.001697,-0.823803,0.002352,-0.566869,-1516.532593,-7.379695,119.706413,1.002218
124,0.496000,0.000914,-0.823586,0.001351,-0.567189,-1516.518677,-7.307745,119.705032,0.996839
125,0.500000,-0.000040,-0.823852,0.002365,-0.566800,-1516.401123,-7.159174,119.656372,1.192562
126,0.504000,0.000977,-0.823752,0.001269,-0.566947,-1516.503906,-7.320774,119.716049,0.997184
127,0.508000,0.000394,-0.823730,0.002064,-0.566978,-1516.515991,-7.239037,119.715561,1.013783
128,0.512000,0.001138,-0.823773,0.001885,-0.566915,-1516.506348,-7.272332,119.703697,1.017706
129,0.516000,0.000649,-0.823776,0.002000,-0.566912,-1516.522705,-7.301772,119.696190,1.018682
130,0.520000,0.001141,-0.823711,0.001992,-0.567005,-1516.503784,-7.300024,119.701660,0.993720
131,0.524000,0.001437,-0.823766,0.001854,-0.566925,-1516.535156,-7.323938,119.707336,0.994449
132,0.528000,0.000139,-0.823712,0.001556,-0.567006,-1516.538940,-7.321131,119.703796,1.016369
133,0.532000,0.001283,-0.823672,0.001685,-0.567062,-1516.504883,-7.341756,119.692223,0.984360
134,0.536000,0.000649,-0.823662,0.002044,-0.567077,-1516.516113,-7.293108,119.695099,1.008424
135,0.540000,0.000148,-0.823641,0.001686,-0.567110,-1516.488525,-7.263239,119.688560,1.017235
136,0.544000,0.000335,-0.823658,0.001978,-0.567084,-1516.512329,-7.310743,119.708961,1.030353
137,0.548000,0.000766,-0.823678,0.002199,-0.567054,-1516.489868,-7.280693,119.710808,1.012792
138,0.552000,0.000208,-0.823856,0.002269,-0.566794,-1516.377808,-7.132290,119.660042,1.193809
139,0.556000,0.000695,-0.823698,0.002037,-0.567025,-1516.521118,-7.268510,119.721230,0.990544
140,0.560000,0.000991,-0.823646,0.001328,-0.567102,-1516.525146,-7.324928,119.703934,1.004144
141,0.564000,0.000996,-0.823738,0.002215,-0.566966,-1516.495239,-7.297402,119.690552,1.030443
142,0.568000,0.000666,-0.823647,0.001517,-0.567100,-1516.520630,-7.266743,119.702156,1.019508
143,0.572000,0.000905,-0.823680,0.001895,-0.567051,-1516.521484,-7.345586,119.708260,1.011524
144,0.576000,0.000193,-0.823822,0.001904,-0.566845,-1516.350952,-7.108809,119.659950,1.198320
145,0.580000,0.001219,-0.823591,0.001425,-0.567181,-1516.518066,-7.335763,119.684425,1.017492
146,0.584000,0.000441,-0.823753,0.002274,-0.566945,-1516.517578,-7.312699,119.699539,1.022824
147,0.588000,0.001217,-0.823768,0.002363,-0.566920,-1516.518799,-7.350127,119.693634,0.993277
148,0.592000,0.001754,-0.823783,0.001573,-0.566901,-1516.407349,-7.265476,119.637108,1.183131
149,0.596000,0.000490,-0.823633,0.001427,-0.567122,-1516.523560,-7.346011,119.692642,1.010793
150,0.600000,0.000237,-0.823701,0.001771,-0.567022,-1516.495361,-7.253639,119.707375,1.010115
151,0.604000,0.000433,-0.823719,0.001995,-0.566994,-1516.500244,-7.280381,119.704781,0.978166
152,0.608000,0.000434,-0.823636,0.001395,-0.567117,-1516.517212,-7.330239,119.711937,0.999009
153,0.612000,0.001274,-0.823755,0.001994,-0.566941,-1516.522461,-7.364316,119.686020,1.006919
154,0.616000,0.000779,-0.823778,0.002042,-0.566909,-1516.511230,-7.343058,119.694092,1.035091
155,0.620000,0.001010,-0.823826,0.002119,-0.566838,-1516.380737,-7.218178,119.652283,1.160127
156,0.624000,0.000168,-0.823656,0.001680,-0.567088,-1516.499268,-7.290901,119.706215,1.039416
157,0.628000,0.000473,-0.823668,0.001942,-0.567068,-1516.520264,-7.295583,119.696175,1.020918
158,0.632000,0.001070,-0.823635,0.001343,-0.567118,-1516.533813,-7.348134,119.700737,1.000045
159,0.636000,0.000275,-0.823704,0.002245,-0.567016,-1516.489868,-7.269779,119.713974,1.000640
160,0.640000,0.001033,-0.823894,0.002103,-0.566740,-1516.406860,-7.235454,119.633728,1.207963
161,0.644000,0.000732,-0.823633,0.001747,-0.567119,-1516.511841,-7.352850,119.690613,1.004442
162,0.648000,0.000766,-0.823633,0.001228,-0.567122,-1516.526001,-7.359013,119.689987,1.009220
163,0.652000,0.000940,-0.823918,0.002017,-0.566704,-1516.398682,-7.228307,119.633171,1.209070
164,0.656000,0.000436,-0.823917,0.002352,-0.566706,-1516.392212,-7.170614,119.654350,1.198368
165,0.660000,0.000421,-0.823657,0.001193,-0.567088,-1516.508301,-7.316050,119.695976,1.020285
166,0.664000,0.000963,-0.823753,0.002163,-0.566944,-1516.522095,-7.343205,119.696091,1.013143
167,0.668000,0.000851,-0.823740,0.002049,-0.566963,-1516.512817,-7.302637,119.719368,0.994055
168,0.672000,0.000631,-0.823631,0.001744,-0.567123,-1516.510132,-7.344234,119.684219,1.028032
169,0.676000,0.001120,-0.823616,0.001683,-0.567144,-1516.525391,-7.328015,119.683189,1.019016
170,0.680000,0.001170,-0.823599,0.001954,-0.567168,-1516.521851,-7.312353,119.710060,0.993626
171,0.684000,0.000620,-0.823802,0.002251,-0.566872,-1516.499634,-7.309349,119.704590,1.021427
172,0.688000,0.001144,-0.823713,0.002087,-0.567002,-1516.505981,-7.337115,119.665627,1.050662
173,0.692000,0.001192,-0.823627,0.001445,-0.567129,-1516.544067,-7.383787,119.689827,0.985638
174,0.696000,0.000283,-0.823816,0.002160,-0.566853,-1516.493774,-7.270545,119.711533,1.016051
175,0.700000,0.001183,-0.823722,0.002031,-0.566989,-1516.549927,-7.378711,119.689835,1.022016
176,0.704000,-0.000320,-0.823752,0.002235,-0.566947,-1516.479980,-7.220880,119.709053,1.019735
177,0.708000,0.000578,-0.823658,0.001653,-0.567084,-1516.527344,-7.334934,119.699875,1.034080
178,0.712000,0.001156,-0.823674,0.001602,-0.567060,-1516.545532,-7.336530,119.698868,1.000467
179,0.716000,0.000307,-0.823523,0.001342,-0.567281,-1516.516846,-7.302876,119.680916,1.016109
180,0.720000,-0.000233,-0.823716,0.002001,-0.566999,-1516.487915,-7.287110,119.693176,1.032183
181,0.724000,0.001075,-0.823666,0.001514,-0.567072,-1516.525879,-7.323529,119.697220,1.027375
182,0.728000,0.000758,-0.823795,0.002406,-0.566882,-1516.496094,-7.272338,119.697456,1.034618
183,0.732000,0.001031,-0.823836,0.001766,-0.566824,-1516.396973,-7.190345,119.638908,1.168858
184,0.736000,0.001070,-0.823620,0.001980,-0.567137,-1516.518799,-7.308758,119.682785,1.013009
185,0.740000,0.001359,-0.823849,0.001764,-0.566804,-1516.413940,-7.260185,119.644753,1.189173
186,0.744000,0.000972,-0.823754,0.001512,-0.566945,-1516.400146,-7.197776,119.650528,1.173431
187,0.748000,0.001554,-0.823911,0.002144,-0.566712,-1516.413574,-7.239454,119.645195,1.214931
188,0.752000,0.001030,-0.823884,0.002154,-0.566754,-1516.404907,-7.199189,119.634651,1.185076
189,0.756000,0.000666,-0.823860,0.001779,-0.566790,-1516.401978,-7.194602,119.648201,1.169119
190,0.760000,0.000272,-0.823598,0.001494,-0.567172,-1516.503784,-7.285086,119.693344,1.027005
191,0.764000,0.000868,-0.823781,0.001224,-0.566907,-1516.406250,-7.260756,119.637337,1.188414
192,0.768000,0.000399,-0.823600,0.001792,-0.567168,-1516.524536,-7.329675,119.672295,1.023897
193,0.772000,-0.000182,-0.823860,0.002230,-0.566790,-1516.399414,-7.216388,119.625160,1.182031
194,0.776000,-0.000346,-0.823888,0.002381,-0.566748,-1516.376709,-7.193302,119.640724,1.178116
195,0.780000,0.000282,-0.823615,0.001318,-0.567148,-1516.525757,-7.329605,119.712967,1.010996
196,0.784000,0.000392,-0.823705,0.001664,-0.567017,-1516.505493,-7.285151,119.716660,1.010235
197,0.788000,0.000812,-0.823856,0.002311,-0.566793,-1516.376831,-7.218488,119.643196,1.204275
198,0.792000,0.001350,-0.823675,0.001425,-0.567059,-1516.502930,-7.288262,119.703934,1.010622
199,0.796000,-0.000304,-0.823773,0.002044,-0.566916,-1516.369995,-7.146235,119.662491,1.217177
200,0.800000,0.000755,-0.823643,0.001646,-0.567106,-1516.496582,-7.291025,119.698761,1.032730
201,0.804000,0.001016,-0.823724,0.001634,-0.566988,-1516.503418,-7.310480,119.705620,1.018155
202,0.808000,0.000954,-0.823651,0.000956,-0.567095,-1516.522461,-7.370905,119.680626,1.047905
203,0.812000,0.000678,-0.823797,0.002117,-0.566881,-1516.508057,-7.303195,119.698746,1.032138
204,0.816000,-0.000200,-0.823723,0.002200,-0.566988,-1516.499756,-7.289151,119.701462,1.030451
205,0.820000,0.000270,-0.823669,0.001534,-0.567069,-1516.536255,-7.364388,119.686409,1.017101
206,0.824000,0.001436,-0.823851,0.002369,-0.566800,-1516.400024,-7.222897,119.642006,1.161568
207,0.828000,0.000554,-0.823644,0.001617,-0.567105,-1516.518311,-7.334694,119.702560,1.035644
208,0.832000,-0.000061,-0.823661,0.001634,-0.567080,-1516.498657,-7.281745,119.706070,1.009523
209,0.836000,0.000632,-0.823740,0.002036,-0.566963,-1516.513062,-7.277728,119.718498,1.006753
210,0.840000,0.000653,-0.823631,0.001524,-0.567124,-1516.520630,-7.343038,119.701134,1.026545
211,0.844000,0.000473,-0.823670,0.001341,-0.567068,-1516.523438,-7.302149,119.701836,1.031233
212,0.848000,0.000385,-0.823703,0.001712,-0.567018,-1516.515625,-7.310106,119.698898,1.005796
213,0.852000,0.000255,-0.823644,0.002074,-0.567103,-1516.508423,-7.280169,119.716354,1.011799
214,0.856000,0.000951,-0.823599,0.001200,-0.567170,-1516.512207,-7.327572,119.694702,1.018367
215,0.860000,0.000066,-0.823730,0.002164,-0.566978,-1516.492920,-7.238192,119.718834,1.016459
216,0.864000,0.000439,-0.823591,0.000876,-0.567183,-1516.530640,-7.336699,119.707947,1.013539
217,0.868000,-0.000002,-0.823666,0.002020,-0.567072,-1516.511353,-7.272464,119.708595,1.026474
218,0.872000,0.000459,-0.823653,0.001480,-0.567092,-1516.525269,-7.307549,119.701576,1.004450
219,0.876000,0.000070,-0.823845,0.002513,-0.566809,-1516.373047,-7.130671,119.682777,1.176581
220,0.880000,0.000438,-0.823752,0.002219,-0.566945,-1516.493530,-7.289730,119.710838,1.032640
221,0.884000,0.000309,-0.823795,0.001950,-0.566885,-1516.397217,-7.212327,119.642082,1.205038
222,0.888000,-0.000211,-0.823740,0.001775,-0.566965,-1516.378418,-7.145501,119.658752,1.201169
223,0.892000,0.000902,-0.823671,0.001597,-0.567065,-1516.511841,-7.328315,119.695839,1.010594
224,0.896000,0.001061,-0.823735,0.001828,-0.566971,-1516.479980,-7.273931,119.709038,1.018044
225,0.900000,0.000403,-0.823703,0.001450,-0.567019,-1516.493042,-7.272274,119.725258,1.026500
226,0.904000,0.000231,-0.823758,0.002405,-0.566937,-1516.520264,-7.257939,119.701584,1.015003
227,0.908000,0.000315,-0.823632,0.001658,-0.567122,-1516.501343,-7.313768,119.703003,1.005682
228,0.912000,0.000017,-0.823819,0.002481,-0.566848,-1516.374023,-7.142584,119.658585,1.175585
229,0.916000,0.000046,-0.823823,0.001762,-0.566845,-1516.392456,-7.183794,119.656639,1.208901
230,0.920000,0.000660,-0.823703,0.001588,-0.567019,-1516.532959,-7.336526,119.702141,1.021084
231,0.924000,0.000718,-0.823689,0.001997,-0.567038,-1516.512329,-7.290532,119.710205,1.017438
232,0.928000,0.000140,-0.823619,0.001560,-0.567141,-1516.501709,-7.292647,119.709549,0.998231
233,0.932000,-0.000017,-0.823813,0.002214,-0.566857,-1516.382324,-7.183533,119.662399,1.179509
234,0.936000,0.000773,-0.823770,0.002149,-0.566920,-1516.506714,-7.286283,119.703842,1.004051
235,0.940000,0.000333,-0.823747,0.002217,-0.566954,-1516.498535,-7.298790,119.711418,1.025727
236,0.944000,0.000032,-0.823670,0.001559,-0.567067,-1516.529297,-7.328829,119.709641,1.010157
237,0.948000,0.000384,-0.823968,0.001912,-0.566633,-1516.371704,-7.146482,119.664604,1.204675
238,0.952000,0.000194,-0.823659,0.001548,-0.567083,-1516.518433,-7.332791,119.699020,1.004038
239,0.956000,-0.000116,-0.823674,0.001911,-0.567060,-1516.503540,-7.260948,119.707314,1.007640
240,0.960000,0.000113,-0.823838,0.002352,-0.566821,-1516.377563,-7.160862,119.657661,1.194350
241,0.964000,0.000964,-0.823712,0.002177,-0.567004,-1516.514404,-7.317080,119.691513,1.038425
242,0.968000,0.000396,-0.823906,0.002732,-0.566720,-1516.401733,-7.182662,119.642975,1.180586
243,0.972000,0.001826,-0.823659,0.001643,-0.567080,-1516.543945,-7.428969,119.690277,1.032287
244,0.976000,-0.000355,-0.823701,0.002009,-0.567021,-1516.490479,-7.215350,119.734146,1.013046
245,0.980000,0.001223,-0.823788,0.002418,-0.566891,-1516.502441,-7.303367,119.722992,0.998922
246,0.984000,0.000502,-0.823686,0.002173,-0.567042,-1516.510376,-7.280447,119.716148,1.000127
247,0.988000,0.002068,-0.823625,0.001117,-0.567131,-1516.543945,-7.411190,119.711472,1.010457
248,0.992000,0.000980,-0.823657,0.001820,-0.567085,-1516.498291,-7.281649,119.720566,1.004102
249,0.996000,-0.000373,-0.823835,0.002013,-0.566826,-1516.402222,-7.160233,119.659363,1.215861
250,1.000000,0.000352,-0.823691,0.002177,-0.567035,-1516.515259,-7.285695,119.707962,1.001077
251,1.004000,-0.000038,-0.823725,0.002056,-0.566986,-1516.535889,-7.314630,119.701256,1.011238
252,1.008000,-0.000034,-0.823668,0.001531,-0.567071,-1516.514771,-7.323862,119.710587,1.020997
253,1.012000,0.001017,-0.823693,0.001605,-0.567033,-1516.553223,-7.364385,119.700226,0.980575
