Format Version,1.21,Take Name,flow117,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2016-05-30 11.46.15 AM,Total Frames in Take,25635,Total Exported Frames,18241,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,brice,brice,brice,brice,brice,brice,brice,brice
,,"8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735","8392B20CF49E35735"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
3840,15.360000,-0.768708,-0.043412,0.634753,-0.065515,-839.901550,880.710693,404.423401,0.303901
3841,15.364000,-0.768621,-0.042699,0.634863,-0.065934,-839.857849,880.726624,404.453857,0.295401
3842,15.368000,-0.768606,-0.042090,0.634858,-0.066552,-839.808777,880.750427,404.483032,0.296574
3843,15.372000,-0.768629,-0.041599,0.634784,-0.067285,-839.771118,880.775452,404.520355,0.298064
3844,15.376000,-0.768636,-0.040804,0.634773,-0.067798,-839.736206,880.781250,404.565643,0.298911
3845,15.380000,-0.769078,-0.041106,0.634186,-0.068105,-839.635132,880.859985,404.684021,0.395791
3846,15.384000,-0.768985,-0.038798,0.634389,-0.068608,-839.639404,880.795593,404.682404,0.325672
3847,15.388000,-0.769184,-0.038036,0.634136,-0.069148,-839.597046,880.783447,404.799164,0.333349
3848,15.392000,-0.769617,-0.037581,0.633559,-0.069856,-839.700073,880.794861,404.861542,0.220811
3849,15.396000,-0.770212,-0.036489,0.632996,-0.068983,-839.603271,880.682495,405.095612,0.340834
3850,15.400000,-0.770440,-0.035961,0.632739,-0.069063,-839.612183,880.642700,405.241516,0.357611
3851,15.404000,-0.770730,-0.036491,0.632270,-0.069843,-839.689209,880.643616,405.358398,0.281084
3852,15.408000,-0.771594,-0.035999,0.631263,-0.069668,-839.629517,880.611023,405.637848,0.365514
3853,15.412000,-0.772978,-0.035460,0.629680,-0.068935,-839.608459,880.520691,406.113770,0.271590
3854,15.416000,-0.774023,-0.040690,0.627838,-0.071078,-839.592346,881.002625,406.584869,0.688490
3855,15.420000,-0.773913,-0.037727,0.628336,-0.069503,-839.680847,880.659607,406.587433,0.258952
3856,15.424000,-0.774433,-0.040306,0.627423,-0.070493,-839.724854,880.830627,406.881927,0.335819
3857,15.428000,-0.774811,-0.040615,0.627008,-0.069856,-839.757019,880.762573,407.105408,0.290263
3858,15.432000,-0.775968,-0.041595,0.625655,-0.068555,-839.661865,880.718262,407.527039,0.443901
3859,15.436000,-0.776067,-0.042255,0.625545,-0.068030,-839.700989,880.638672,407.752075,0.408305
3860,15.440000,-0.776354,-0.043149,0.625122,-0.068088,-839.704651,880.633484,407.958466,0.385323
3861,15.444000,-0.776693,-0.043381,0.624730,-0.067668,-839.712402,880.535217,408.209656,0.471325
3862,15.448000,-0.777053,-0.042925,0.624534,-0.065597,-839.873840,880.267822,408.428223,0.512433
3863,15.452000,-0.777288,-0.043010,0.624316,-0.064824,-839.925110,880.122009,408.667877,0.551042
3864,15.456000,-0.777442,-0.043325,0.624147,-0.064399,-839.952759,880.009094,408.890503,0.577135
3865,15.460000,-0.777513,-0.043342,0.623972,-0.065230,-840.048279,879.839661,409.186310,0.718472
3866,15.464000,-0.777990,-0.043187,0.623411,-0.065007,-840.090454,879.666077,409.537292,0.670883
3867,15.468000,-0.777813,-0.043732,0.623587,-0.065067,-840.178223,879.566528,409.688049,0.578199
3868,15.472000,-0.777892,-0.043675,0.623497,-0.065028,-840.227600,879.419189,409.881805,0.602560
3869,15.476000,-0.778034,-0.043532,0.623365,-0.064676,-840.295349,879.216492,410.098419,0.627395
3870,15.480000,-0.778231,-0.042902,0.623175,-0.064564,-840.354614,879.075867,410.312134,0.613339
3871,15.484000,-0.778386,-0.041494,0.623171,-0.063645,-840.345764,878.781982,410.580688,0.456787
3872,15.488000,-0.778326,-0.041219,0.623281,-0.063479,-840.493042,878.588928,410.791504,0.464111
3873,15.492000,-0.777834,-0.039875,0.623988,-0.063425,-840.557190,878.302185,410.863892,0.345603
3874,15.496000,-0.777750,-0.039159,0.624184,-0.062981,-840.612732,878.108826,411.051575,0.328677
3875,15.500000,-0.778381,-0.038346,0.623476,-0.062694,-840.574585,877.909668,411.360809,0.528630
3876,15.504000,-0.778109,-0.038129,0.623719,-0.063775,-840.637451,877.816956,411.479645,0.500656
3877,15.508000,-0.778006,-0.037235,0.623899,-0.063799,-840.660889,877.618225,411.677063,0.499510
3878,15.512000,-0.778487,-0.035057,0.623532,-0.062745,-840.736755,877.324646,411.924530,0.335514
3879,15.516000,-0.777823,-0.033106,0.624458,-0.062834,-840.774353,877.030457,411.960663,0.114793
3880,15.520000,-0.777791,-0.031283,0.624610,-0.062656,-840.663696,876.779907,412.163208,0.380253
3881,15.524000,-0.778283,-0.030862,0.623940,-0.063417,-840.825989,876.647156,412.515442,0.161893
3882,15.528000,-0.778492,-0.031272,0.623658,-0.063429,-840.788025,876.575378,412.820923,0.422752
3883,15.532000,-0.778687,-0.031855,0.623145,-0.065751,-840.853088,876.546997,413.213501,0.569444
3884,15.536000,-0.778684,-0.031386,0.623091,-0.066509,-840.974243,876.345398,413.483734,0.500159
3885,15.540000,-0.778709,-0.029859,0.623193,-0.065968,-841.012329,876.072205,413.711395,0.395767
3886,15.544000,-0.778594,-0.029997,0.623320,-0.066064,-841.114990,875.900879,413.992157,0.398931
3887,15.548000,-0.778395,-0.028578,0.623541,-0.066948,-841.210754,875.612305,414.210632,0.291150
3888,15.552000,-0.778686,-0.029568,0.623133,-0.066932,-841.228149,875.516724,414.594360,0.478873
3889,15.556000,-0.778788,-0.030236,0.622962,-0.067038,-841.321167,875.407471,414.937897,0.418290
3890,15.560000,-0.778684,-0.030613,0.623075,-0.067021,-841.414124,875.256287,415.229187,0.440455
3891,15.564000,-0.778309,-0.030596,0.623580,-0.066679,-841.497070,875.127075,415.472076,0.390784
3892,15.568000,-0.778101,-0.031020,0.623853,-0.066369,-841.555298,874.930237,415.772125,0.403906
3893,15.572000,-0.777920,-0.031500,0.624073,-0.066186,-841.624451,874.728943,416.075897,0.458536
3894,15.576000,-0.777520,-0.031776,0.624562,-0.066152,-841.728394,874.531799,416.377228,0.500365
3895,15.580000,-0.777449,-0.031635,0.624671,-0.066021,-841.887634,874.261780,416.687653,0.498919
3896,15.584000,-0.777858,-0.029990,0.624414,-0.064378,-841.943542,873.890747,417.272858,0.155960
3897,15.588000,-0.778334,-0.031264,0.623718,-0.064767,-841.983582,873.849243,417.810059,0.555380
3898,15.592000,-0.777723,-0.030198,0.624433,-0.065719,-841.995972,873.602295,418.120728,0.752542
3899,15.596000,-0.776960,-0.028449,0.625452,-0.065827,-842.074890,873.261536,418.295319,0.396542
3900,15.600000,-0.778352,-0.027739,0.623595,-0.067292,-842.071533,873.152283,419.080200,1.036664
3901,15.604000,-0.778547,-0.025764,0.623429,-0.067359,-842.176453,872.775452,419.442627,0.854973
3902,15.608000,-0.778462,-0.024213,0.623552,-0.067785,-842.192078,872.574158,419.763153,0.815620
3903,15.612000,-0.778630,-0.023661,0.623074,-0.070392,-842.287048,872.624084,420.154327,0.465990
3904,15.616000,-0.778907,-0.022059,0.622764,-0.070582,-842.305481,872.507141,420.537262,0.441035
3905,15.620000,-0.779049,-0.019635,0.622709,-0.070213,-842.273926,872.232239,420.902191,0.305524
3906,15.624000,-0.779021,-0.018926,0.622537,-0.072221,-842.347717,872.213989,421.177887,0.288978
3907,15.628000,-0.779319,-0.016790,0.622157,-0.072807,-842.384949,872.072998,421.542480,0.274733
3908,15.632000,-0.780668,-0.015091,0.620598,-0.072029,-842.269043,871.909302,422.196625,0.755166
3909,15.636000,-0.782188,-0.010450,0.618943,-0.070582,-842.260193,871.501099,422.868042,0.515979
3910,15.640000,-0.782119,-0.012561,0.618768,-0.072515,-842.322693,871.752563,423.132263,0.617596
3911,15.644000,-0.782873,-0.010114,0.618011,-0.071200,-842.326660,871.496460,423.697693,0.334509
3912,15.648000,-0.783433,-0.011419,0.617224,-0.071675,-842.366150,871.572327,424.175690,0.290485
3913,15.652000,-0.783211,-0.011672,0.617483,-0.071826,-842.439087,871.540955,424.548401,0.280908
3914,15.656000,-0.784319,-0.012634,0.616120,-0.071270,-842.460693,871.612549,425.208221,0.195878
3915,15.660000,-0.784968,-0.018616,0.614765,-0.074453,-842.583984,872.171936,425.900726,0.435262
3916,15.664000,-0.785398,-0.018744,0.614346,-0.073337,-842.579102,872.114075,426.300049,0.373048
3917,15.668000,-0.785718,-0.020742,0.613953,-0.072657,-842.588867,872.163574,426.770599,0.314248
3918,15.672000,-0.785628,-0.022889,0.614124,-0.071522,-842.631470,872.210388,427.140747,0.245226
3919,15.676000,-0.785499,-0.024431,0.614380,-0.070222,-842.589661,872.110718,427.579498,0.235896
3920,15.680000,-0.786804,-0.022614,0.613204,-0.066397,-842.531372,871.775696,428.252716,0.540596
3921,15.684000,-0.786781,-0.024058,0.613344,-0.064859,-842.568726,871.721313,428.627838,0.556388
3922,15.688000,-0.786707,-0.025809,0.613458,-0.063994,-842.569458,871.698547,429.003418,0.536249
3923,15.692000,-0.786410,-0.029271,0.613585,-0.064936,-842.571899,871.870056,429.374603,0.518833
3924,15.696000,-0.786164,-0.030299,0.613987,-0.063631,-842.532593,871.762390,429.711151,0.492913
3925,15.700000,-0.785612,-0.030408,0.614726,-0.063252,-842.525574,871.652466,429.931824,0.541467
3926,15.704000,-0.785498,-0.030708,0.614982,-0.062022,-842.487305,871.534912,430.274994,0.492540
3927,15.708000,-0.785154,-0.030817,0.615460,-0.061584,-842.427673,871.435059,430.535065,0.505106
3928,15.712000,-0.784605,-0.031092,0.616195,-0.061083,-842.318298,871.352112,430.716370,0.315246
3929,15.716000,-0.784357,-0.030909,0.616528,-0.061006,-842.237427,871.239746,430.952576,0.331261
3930,15.720000,-0.784811,-0.027793,0.616176,-0.060215,-842.143677,870.809021,431.350372,0.212271
3931,15.724000,-0.784605,-0.027130,0.616459,-0.060310,-842.052612,870.694214,431.568970,0.232022
3932,15.728000,-0.784574,-0.027272,0.616339,-0.061861,-842.052490,870.705688,431.784851,0.185586
3933,15.732000,-0.784508,-0.026147,0.616426,-0.062314,-841.908997,870.565247,431.979065,0.187523
3934,15.736000,-0.784448,-0.025110,0.616593,-0.061838,-841.734741,870.370544,432.194885,0.190373
3935,15.740000,-0.784496,-0.023018,0.616615,-0.061821,-841.632935,870.135010,432.396973,0.195671
3936,15.744000,-0.784244,-0.022460,0.616896,-0.062421,-841.548950,870.024353,432.553894,0.193352
3937,15.748000,-0.784366,-0.021753,0.616688,-0.063185,-841.425903,869.884094,432.758789,0.206393
3938,15.752000,-0.784712,-0.020330,0.616226,-0.063870,-841.273193,869.696045,433.014221,0.259244
3939,15.756000,-0.784541,-0.019927,0.616386,-0.064555,-841.186279,869.565002,433.168976,0.262578
3940,15.760000,-0.784029,-0.020401,0.616921,-0.065509,-841.105530,869.505920,433.268280,0.228310
3941,15.764000,-0.784320,-0.020100,0.616486,-0.066201,-841.001038,869.416931,433.672302,0.804058
3942,15.768000,-0.783982,-0.019476,0.616870,-0.066813,-840.902039,869.259277,433.818085,0.799217
3943,15.772000,-0.783799,-0.018786,0.617092,-0.067111,-840.817810,869.080750,434.006195,0.794649
3944,15.776000,-0.783496,-0.017731,0.617439,-0.067744,-840.754883,868.817200,434.196381,0.758676
3945,15.780000,-0.782740,-0.017309,0.618267,-0.069026,-840.538391,868.724548,434.264343,0.843160
3946,15.784000,-0.782516,-0.016329,0.618484,-0.069848,-840.397034,868.602234,434.471130,0.836189
3947,15.788000,-0.782441,-0.015271,0.618622,-0.069715,-840.255188,868.423401,434.670837,0.755662
3948,15.792000,-0.782216,-0.014523,0.618933,-0.069636,-840.080139,868.248962,434.830139,0.741347
3949,15.796000,-0.782176,-0.013684,0.618978,-0.069854,-839.911987,868.123840,435.020813,0.725308
3950,15.800000,-0.782239,-0.013898,0.618808,-0.070606,-839.710205,868.094421,435.186279,0.665275
3951,15.804000,-0.782472,-0.012992,0.618604,-0.069988,-839.541321,867.982300,435.418274,0.638809
3952,15.808000,-0.783706,-0.008476,0.617173,-0.069509,-839.292419,867.578308,435.801636,0.393729
3953,15.812000,-0.784018,-0.010727,0.616529,-0.071364,-839.155640,867.810669,436.098572,0.581517
3954,15.816000,-0.784166,-0.010459,0.616344,-0.071373,-839.010010,867.755737,436.310883,0.572148
3955,15.820000,-0.784574,-0.006344,0.616116,-0.069320,-838.784546,867.309509,436.500580,0.357450
3956,15.824000,-0.785172,-0.007487,0.615355,-0.069189,-838.609375,867.395996,436.878845,0.761876
3957,15.828000,-0.784922,-0.009842,0.615647,-0.069131,-838.474915,867.524292,436.978363,0.633697
3958,15.832000,-0.784752,-0.010903,0.615850,-0.069106,-838.321655,867.555420,437.081696,0.722862
3959,15.836000,-0.784995,-0.012569,0.615462,-0.069506,-838.265381,867.678528,437.356628,0.464027
3960,15.840000,-0.784976,-0.013829,0.615539,-0.068790,-838.081482,867.716125,437.506989,0.449005
3961,15.844000,-0.784485,-0.015353,0.616173,-0.068396,-837.861084,867.778198,437.614960,0.585841
3962,15.848000,-0.784105,-0.016994,0.616644,-0.068129,-837.754822,867.838623,437.744659,0.571880
3963,15.852000,-0.783626,-0.018582,0.617267,-0.067573,-837.650208,867.867798,437.865875,0.552956
3964,15.856000,-0.783115,-0.020532,0.617890,-0.067239,-837.527100,867.926636,437.993378,0.566105
3965,15.860000,-0.782518,-0.022213,0.618615,-0.066992,-837.420166,867.974609,438.096985,0.548924
3966,15.864000,-0.781889,-0.023681,0.619372,-0.066839,-837.323242,867.976563,438.187225,0.536413
3967,15.868000,-0.780858,-0.023260,0.620729,-0.066448,-837.236267,867.832153,438.123840,0.263294
3968,15.872000,-0.780172,-0.024607,0.621520,-0.066625,-837.150635,867.831848,438.210266,0.252157
3969,15.876000,-0.779435,-0.025733,0.622376,-0.066832,-837.069458,867.806519,438.281586,0.253899
3970,15.880000,-0.778863,-0.026385,0.623067,-0.066813,-836.949524,867.741943,438.383392,0.266586
3971,15.884000,-0.778028,-0.026395,0.624120,-0.066712,-836.840271,867.603149,438.425262,0.281403
